Comment,Max_PDOP,Max_HDOP,Corr_Type,Rcvr_Type,GPS_Date,GPS_Time,Datafile,Unfilt_Pos,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,Northing,Easting,Point_ID,new_plot
poly 32 plot3,3.9,2.4,Postprocessed Code,GeoXH 6000,2016/04/28,01:45:24pm,SUTIL APR28.cor,"30",251.809,1.9,2.0,0.311803,5413123.694,472396.501,"47",28-1
poly 32 plot3,3.7,1.9,Postprocessed Code,GeoXH 6000,2016/04/28,02:48:06pm,SUTIL APR28.cor,"40",228.714,2.1,2.2,0.164231,5413193.416,472475.427,"48",2a-3
poly 53 plot 1,2.8,1.5,Postprocessed Code,GeoXH 6000,2016/04/28,03:34:10pm,SUTIL APR28.cor,"38",216.527,0.5,0.4,0.042660,5413427.377,472544.614,"50",1a-1
poly53 plot2,2.3,1.2,Postprocessed Code,GeoXH 6000,2016/04/28,05:13:29pm,SUTIL APR28.cor,"11",207.727,0.6,0.5,0.010146,5413516.243,472546.668,"53",1a-2
poly33b plot 2,20.7,11.2,Postprocessed Code,GeoXH 6000,2016/04/26,11:01:58am,SUTIL 26APR_1.cor,"1532",87.776,1.0,0.7,1.425518,5412470.977,472452.145,"25",33b-2
poly51 plot1,20.5,9.6,Postprocessed Code,GeoXH 6000,2016/04/26,01:41:43pm,SUTIL 26APR_1.cor,"31",153.257,2.7,2.7,1.494473,5412539.630,472507.898,"37",34-1
poly34 plot1,27.3,16.1,Postprocessed Code,GeoXH 6000,2016/04/25,10:58:47am,SUTIL APR25_1.cor,"732",140.556,2.4,2.3,2.355946,5412309.960,472995.563,"1",18a-1
poly23 plot1,10.1,5.1,Postprocessed Code,GeoXH 6000,2016/04/25,02:28:11pm,SUTIL APR25_1.cor,"31",116.198,1.7,1.7,0.070847,5412373.358,472818.659,"16",5-1
poly 33 plot1,6.6,3.2,Postprocessed Code,GeoXH 6000,2016/04/25,03:48:12pm,SUTIL APR25_1.cor,"38",51.203,2.4,1.9,2.444705,5412209.335,472788.949,"22",33a-1
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",15-1
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",3a-1
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",3a-2
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",10-1
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",11-1
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",4-1
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0","4.2"
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",6-1
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",7-1
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",8-1
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",9-1
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",23-1
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",24-1
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",31-1
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",30-1
,0.0,0.0,,,1899/12/30,,,"0",0.000,0.0,0.0,0.000000,0.000,0.000,"0",25a-1
