"Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"Aequorea victoria s.lat.","","","water jelly","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","","Aequoreidae","","","Aequorea","victoria","s.lat.","","","native","unlisted","","confirmed","observed","1985-07-29","Andy Lamb","PMLS","","","2017-05-26","Karolle Wall","https://www.inaturalist.org/observations/7648048","","325995","CNI"
"Aglaja ocelligera","(Bergh, 1894)","","spotted aglaja","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Cephalaspidea","","Philinoidea","Aglajidae","","","Aglaja","ocelligera","","","","native","unlisted","","confirmed","observed","1996-05-29","Charlie Gibbs","PMLS","","","2015-05-20","Karolle Wall","https://www.inaturalist.org/observations/32171691","","49842","MOL"
"Aglantha digitale","(O. F. Müller, 1776)","","pink helmit","Animalia","Cnidaria","","","Hydrozoa","Trachylinae","","Trachymedusae","","","Rhopalonematidae","","","Aglantha","digitale","","","","native","unlisted","","reported","unobserved","1861","Alexander Agassiz","Agassiz, A. 1861. Notes on the described species of Holconoti, found on the western coast of North America. March 20, 1861. Proceedings of the Boston Society of Natural History, v.8, pp. 122–134.","","","","","","","256085","CNI"
"Aglaophenia spp.","","","ostrich-plume hydroid","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","Plumularioidea","Aglaopheniidae","","","Aglaophenia","spp.","","","","","","","reported","unobserved","1971-08-21","Andy Lamb","PMLS","","","","","","","51218","CNI"
"Agonopsis vulsa","(Jordan & Gilbert, 1880)","","northern spearnose poacher","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Scorpaeniformes","","","Agonidae","Agoninae","","Agonopsis","vulsa","","","","native","SNR","","reported","unobserved","1995-02-25","Charlie Gibbs","PMLS","","","","","","","180027","FIS"
"Alcyonidium pedunculatum","Robertson, 1902","","smooth leather bryozoan","Animalia","Bryozoa","","","Gymnolaemata","","","Ctenostomatida","Alcyonidiina","Alcyonidoidea","Alcyonidiidae","","","Alcyonidium","pedunculatum","","","","native","unlisted","","reported","unobserved","1994-02-26","Charlie Gibbs","PMLS","","","","","","","873864","LOP"
"Alcyonium sp.","","","orange soft coral","Animalia","Cnidaria","","","Anthozoa","Octocorallia","","Alcyonacea","Alcyoniina","","Alcyoniidae","","","Alcyonium","sp.","","","","","","","reported","observed","1985-12-07","Andy Lamb","PMLS","","","2016-02-07","Peter Luckham","http://www.inaturalist.org/observations/2763485","","338004","CNI"
"Aldisa albomarginata","Millen in Millen & Gosliner, 1985","","white-rimmed nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Chromodoridoidea","Cadlinidae","","","Aldisa","albomarginata","","","","native","unlisted","","reported","unobserved","2009-03-19","Andy Lamb","PMLS","","","","","","","50094","MOL"
"Aldisa cooperi","Robilliard & Baba, 1972","","Cooper's dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Chromodoridoidea","Cadlinidae","","","Aldisa","cooperi","","","","native","unlisted","","reported","unobserved","1981-05-31","Andy Lamb","PMLS","","","2014-04-09","Karin Fletcher","https://www.inaturalist.org/observations/68793262","","50097","MOL"
"Aldisa sanguinea","(J.G. Cooper, 1863)","","blood-spot dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Chromodoridoidea","Cadlinidae","","","Aldisa","sanguinea","","","","native","unlisted","","confirmed","observed","2013-10-10","Andy Lamb","PMLS","","","2017-06-25","Karolle Wall","https://www.inaturalist.org/observations/31366877","","50098","MOL"
"Aldisa tara","Millen in Millen & Gosliner, 1985","","Tara's dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Chromodoridoidea","Cadlinidae","","","Aldisa","tara","","","","native","unlisted","","reported","unobserved","2018-06-19","Andy Lamb","PMLS","","","2009-11-14","Karin Fletcher","https://www.inaturalist.org/observations/68751128","","50100","MOL"
"Alia carinata","(Hinds, 1844)","","carinate dovesnail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Columbellidae","","","Alia","carinata","","","","native","unlisted","","new 2017","observed","","","","","","2017-05-26","Karolle Wall","https://www.inaturalist.org/observations/7674348","reported as Mitrella carinata","129933","MOL"
"Alitta williami","Villalobos-Guerrero & Bakken, 2018","","giant piling sea-nymph worm","Animalia","Annelida","","","Polychaeta","Errantia","","Phyllodocida","Nereidiformia","","Nereididae","Nereidinae","","Alitta","williami","","","","native","unlisted","","new 2017","observed","","","","","","2017-04-17","Kristian Sigvardsen","https://inaturalist.ca/observations/5796200","","1115984","WOR"
"Ammodytes personatus","Girard, 1856","","Pacific sand lance","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Ammodytidae","","","Ammodytes","personatus","","","","native","SNR","","confirmed","observed","1993-08-16","Andy Lamb","PMLS","","","2011-05-20","Karolle Wall","http://www.inaturalist.org/observations/4028615","","201784","FIS"
"Ampelisca hancocki","J.L. Barnard, 1954","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Gammaridea","Ampeliscoidea","Ampeliscidae","","","Ampelisca","hancocki","","","","native","unlisted","","reported","unobserved","1961-06-22","","RBCM","976-01146-018","1898315672","","","","","295404","ART"
"Ampelisca lobata","Holmes, 1908","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Amphilochidea","Synopioidea","Ampeliscidae","","","Ampelisca","lobata","","","","native","unlisted","","reported","unobserved","1961-06-22","","RBCM","976-01146-017","1898267968","","","","","295407","ART"
"Ampelisca unsocalae","J.L. Barnard, 1960","","amphipod","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Amphilochidea","Synopioidea","Ampeliscidae","","","Ampelisca","unsocalae","","","","native","unlisted","","reported","unobserved","1961-06-22","","RBCM","976-01146-019","1898311199","","","","","313004","ART"
"Amphilectus digitatus","(Miklucho-Maclay, 1870)","","glove sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Esperiopsidae","","","Amphilectus","digitatus","","","","native","unlisted","","reported","unobserved","1981-05-31","Andy Lamb","PMLS","","","","","","","459874","POR"
"Amphiodia periercta","H.L. Clark, 1911","","long-armed burrowing brittle star","Animalia","Echinodermata","Asterozoa","","Ophiuroidea","Myophiuroidea ","Ophintegrida ","Amphilepidida","Gnathophiurina ","Amphiuroidea","Amphiuridae","","","Amphiodia","periercta","","","","native","unlisted","","reported","unobserved","1975-06-17","Philip Lambert","RBCM","975-00224-007","1898321940","","","","","957349","ECH"
"Amphisbetia greenei","(Murray, 1860)","","fibre-optic hydroid","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","Sertularioidea","Sertulariidae","","","Abietinaria","greenei","","","","native","unlisted","","reported","unobserved","1971-08-21","Andy Lamb","PMLS","","","","","","","429858","CNI"
"Amphissa columbiana","Dall, 1916","","wrinkled amphissa","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Columbellidae","","","Amphissa","columbiana","","","","native","unlisted","","reported","unobserved","1981-05-31","Andy Lamb","RBCM","986-00191-015","","","","","","117643","MOL"
"Amphissa versicolor","Dall, 1871","","variegated amphissa","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Columbellidae","","","Amphissa","versicolor","","","","native","unlisted","","reported","unobserved","2008-11-12","Andy Lamb","PMLS","","","","","","","129932","MOL"
"Ampithoe lacertosa","Bate, 1858","","sea lettuce sea flea","Animalia","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Senticaudata","Corophioidea","Ampithoidae","","","Ampithoe","lacertosa","","","","native","unlisted","","reported","unobserved","2009-02-14","Andy Lamb","PMLS","","","","","","","260501","ART"
"Anarrhichthys ocellatus","Ayres, 1855","","wolf-eel","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Anarhichadidae","","","Anarrhichthys","ocellatus","","","","native","SNR","","reported","unobserved","1994-02-26","Charlie Gibbs","PMLS","","","","","","","60635","FIS"
"Anoplarchus purpurescens","Gill, 1861","","high cockscomb","Animalia","Chordata","Vertebrata","","Actinopterygii","","","Perciformes","","","Stichaeidae","Xiphisterinae","","Anoplarchus","purpurescens","","","","native","SNR","","confirmed","observed","1969-02-22","Andy Lamb","PMLS","","","2015-08-28","Andrew Simon","https://www.inaturalist.org/observations/2580652","","67316","FIS"
"Antho (Plocamia) karykina","(Laubenfels, 1927)","","bright red sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Microcionidae","","","Antho","(Plocamia)","karykina","","","native","unlisted","","reported","unobserved","1985-08-02","Andy Lamb","PMLS","","","","","","reported as Plocamia karykina","345142","POR"
"Anthopleura artemisia","(Pickering in Dana, 1846)","","burrowing anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Actinioidea","Actiniidae","","","Anthopleura","artemisia","","","","native","unlisted","","confirmed","observed","1996-09-29","Charlie Gibbs","PMLS","","","2013-10-13","Peter Luckham","http://www.inaturalist.org/observations/2976378","","51658","CNI"
"Anthopleura elegantissima","(Brandt, 1835)","","pink-tipped anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Actinioidea","Actiniidae","","","Anthopleura","elegantissima","","","","native","unlisted","","confirmed","observed","1985-12-07","Andy Lamb","PMLS","","","2013-10-13","Bridget Spencer","http://www.inaturalist.org/observations/2580645","","52564","CNI"
"Antiopella fusca","(O'Donoghue, 1924)","","white-and-orange-tipped nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Proctonotoidea","Janolidae","","","Antiopella","fusca","","","","native","unlisted","","confirmed","observed","1985-12-07","Andy Lamb","PMLS","","","2015-06-18","Karolle Wall","http://www.inaturalist.org/observations/3705624","reported as Janolus fuscus","886884","MOL"
"Apata pricei","(MacFarland, 1966)","","Price's aeolid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Fionoidea","Apataidae","","","Apata","pricei","","","","native","unlisted","","reported","unobserved","2013-05-17","Andy Lamb","PMLS","","","2014-04-09","Karin Fletcher","https://www.inaturalist.org/observations/68793493","reported as Flabellina pricei","631469","MOL"
"Aphrocallistes vastus","Schulze, 1886","","cloud sponge","Animalia","Porifera","","","Hexactinellida ","Hexasterophora","","Sceptrulophora ","","","Aphrocallistidae ","","","Aphrocallistes","vastus","","","","native","unlisted","","confirmed","observed","2011-10-30","Jackson Chu","RBCM","016-00066-001","","2007-10-23","Jackson Chu","https://inaturalist.ca/observations/8459011","","424651","POR"
"Aphrodita negligens","Moore, 1905","","sea mouse","Animalia","Annelida","","","Polychaeta","Errantia ","","Phyllodocida","Aphroditiformia ","","Aphroditidae","","","Aphrodita","negligens","","","","native","unlisted","","reported","unobserved","1914-06-26","","RBCM","974-00265-001","1898322906","","","","","733687","WOR"
"Aplidium californicum","(Ritter & Forsyth, 1917)","","California sea pork","Animalia","Chordata","Tunicata","","Ascidiacea","","","Aplousobranchia","","","Polyclinidae","","","Aplidium","californicum","","","","native","unlisted","","reported","unobserved","1994-10-07","Andy Lamb","PMLS","","","","","","","131232","TUN"
"Aplidium kottae","Brunetti, 2007","","red ascidian","Animalia","Chordata","Tunicata","","Ascidiacea","","","Aplousobranchia","","","Polyclinidae","","","Aplidium","kottae","","","","native","unlisted","","reported","unobserved","1985-07-29","Andy Lamb","PMLS","","","","","","","195372","TUN"
