"","Family","Full.Species","Infra.taxa","Habitat","Islands","Island.Size..min..max.","Typical.Cover","Date.First.Seen","Date.Last.Seen","Notes","iNat_taxon","iNat_Family"
"1","Adoxaceae","Sambucus cerulea Raf.","","Forest",1,NA,NA,NA,NA,NA,"Sambucus cerulea","Viburnaceae"
"2","Adoxaceae","Sambucus racemosa L.","var. arborescens","Forest",50,NA,NA,NA,NA,NA,"Sambucus racemosa","Viburnaceae"
"3","Alismataceae","Alisma triviale Pursh","","Wetland",1,NA,NA,NA,NA,NA,"Alisma triviale","Alismataceae"
"4","Amaranthaceae","Amaranthus blitoides S. Watson*","","Open",1,NA,NA,NA,NA,NA,"Amaranthus blitoides","Amaranthaceae"
"5","Amaranthaceae","Amaranthus powellii S. Watson*","","Open",1,NA,NA,NA,NA,NA,"Amaranthus powellii","Amaranthaceae"
"6","Amaranthaceae","Atriplex dioica Raf.","","Shoreline",87,NA,NA,NA,NA,NA,"Atriplex dioica","Amaranthaceae"
"7","Amaranthaceae","Atriplex gmelinii C.A. Mey. ex Bong.","var. gmelinii","Shoreline",26,NA,NA,NA,NA,NA,"Atriplex gmelinii","Amaranthaceae"
"8","Amaranthaceae","Atriplex littoralis L.*","","Shoreline",1,NA,NA,NA,NA,NA,"Atriplex littoralis","Amaranthaceae"
"9","Amaranthaceae","Atriplex patula L.*","","Shoreline",5,NA,NA,NA,NA,NA,"Atriplex patula","Amaranthaceae"
"10","Amaranthaceae","Atriplex prostrata Boucher ex DC.*","","Shoreline",40,NA,NA,NA,NA,NA,"Atriplex prostrata","Amaranthaceae"
"11","Amaranthaceae","Chenopodiastrum murale (L.) S. Fuentes, Uotila & Borsch*","","Open",1,NA,NA,NA,NA,NA,"Chenopodiastrum murale","Amaranthaceae"
"12","Amaranthaceae","Chenopodium berlandieri Moq.","var. zschackei","Shoreline",19,NA,NA,NA,NA,NA,"Chenopodium berlandieri","Amaranthaceae"
"13","Amaranthaceae","Chenopodium leptophyllum (Moq.) Nutt. ex S. Watson","var. leptophyllum","Open",1,NA,NA,NA,NA,NA,"Chenopodium leptophyllum","Amaranthaceae"
"14","Amaranthaceae","Chenopodium macrosperma Hook.f","","Wetland",1,NA,NA,NA,NA,NA,"",""
"15","Amaranthaceae","Oxybasis rubra (L.) S. Fuentes, Uotila & Borsch","","Shoreline",2,NA,NA,NA,NA,NA,"Oxybasis rubra","Amaranthaceae"
"16","Amaranthaceae","Salicornia depressa Standl.","","Shoreline",3,NA,NA,NA,NA,NA,"Salicornia depressa","Amaranthaceae"
"17","Amaranthaceae","Salicornia pacifica Standl.","","Shoreline",54,NA,NA,NA,NA,NA,"Salicornia pacifica","Amaranthaceae"
"18","Amaranthaceae","Sarcocornia pacifica Standl.","","Shoreline",5,NA,NA,NA,NA,NA,"Salicornia pacifica","Amaranthaceae"
"19","Amaryllidaceae","Allium acuminatum Hook.","","Open",97,NA,NA,NA,NA,NA,"Allium acuminatum","Amaryllidaceae"
"20","Amaryllidaceae","Allium amplectens Torr.","","Open",2,NA,NA,NA,NA,NA,"Allium amplectens","Amaryllidaceae"
"21","Amaryllidaceae","Allium cernuum Roth","","Shoreline",74,NA,NA,NA,NA,NA,"Allium cernuum","Amaryllidaceae"
"22","Amaryllidaceae","Allium sativum L.*","","Open",2,NA,NA,NA,NA,NA,"Allium sativum","Amaryllidaceae"
"23","Amaryllidaceae","Allium vineale L.*","","Open",2,NA,NA,NA,NA,NA,"Allium vineale","Amaryllidaceae"
"24","Amaryllidaceae","Narcissus poeticus L.*","","Open",5,NA,NA,NA,NA,NA,"Narcissus poeticus","Amaryllidaceae"
"25","Amaryllidaceae","Narcissus pseudonarcissus L.*","","Forest",8,NA,NA,NA,NA,NA,"Narcissus pseudonarcissus","Amaryllidaceae"
"26","Apiaceae","Angelica genuflexa Nutt.","","Wetland",1,NA,NA,NA,NA,NA,"Angelica genuflexa","Apiaceae"
"27","Apiaceae","Angelica lucida L.","","Shoreline",2,NA,NA,NA,NA,NA,"Angelica lucida","Apiaceae"
"28","Apiaceae","Anthriscus caucalis M. Bieb.*","","Open",20,NA,NA,NA,NA,NA,"Anthriscus caucalis","Apiaceae"
"29","Apiaceae","Carum carvi L.*","","Open",1,NA,NA,NA,NA,NA,"Carum carvi","Apiaceae"
"30","Apiaceae","Cicuta douglasii (DC.) J.M. Coult. & Rose","","Wetland",2,NA,NA,NA,NA,NA,"Cicuta douglasii","Apiaceae"
"31","Apiaceae","Conioselinum pacificum (S. Watson) J.M. Coult. & Rose","","Wetland",30,NA,NA,NA,NA,NA,"Conioselinum gmelinii","Apiaceae"
"32","Apiaceae","Conium maculatum L.*","","Open",3,NA,NA,NA,NA,NA,"Conium maculatum","Apiaceae"
"33","Apiaceae","Daucus carota L.*","","Open",6,NA,NA,NA,NA,NA,"Daucus carota","Apiaceae"
"34","Apiaceae","Daucus pusillus Michx.","","Open",20,NA,NA,NA,NA,NA,"Daucus pusillus","Apiaceae"
"35","Apiaceae","Foeniculum vulgare Mill.*","","Open",3,NA,NA,NA,NA,NA,"Foeniculum vulgare","Apiaceae"
"36","Apiaceae","Glehnia leiocarpa Mathias","","Shoreline",1,NA,NA,NA,NA,NA,"Glehnia littoralis leiocarpa","Apiaceae"
"37","Apiaceae","Heracleum mantegazzianum Sommier & Levier*","","Forest",3,NA,NA,NA,NA,NA,"Heracleum mantegazzianum","Apiaceae"
"38","Apiaceae","Heracleum maximum Bartr.","","Open",21,NA,NA,NA,NA,NA,"Heracleum maximum","Apiaceae"
"39","Apiaceae","Lilaeopsis occidentalis J.M. Coult. & Rose","","Shoreline",2,NA,NA,NA,NA,NA,"Lilaeopsis occidentalis","Apiaceae"
"40","Apiaceae","Lomatium nudicaule (Pursh) J.M. Coult. & Rose","","Open",43,NA,NA,NA,NA,NA,"Lomatium nudicaule","Apiaceae"
"41","Apiaceae","Lomatium utriculatum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose","","Open",29,NA,NA,NA,NA,NA,"Lomatium utriculatum","Apiaceae"
"42","Apiaceae","Oenanthe sarmentosa C. Presl ex DC.","","Wetland",12,NA,NA,NA,NA,NA,"Oenanthe sarmentosa","Apiaceae"
"43","Apiaceae","Osmorhiza berteroi DC.","","Forest",29,NA,NA,NA,NA,NA,"Osmorhiza berteroi","Apiaceae"
"44","Apiaceae","Osmorhiza purpurea (J.M. Coult. & Rose) Suksd.","","Forest",4,NA,NA,NA,NA,NA,"Osmorhiza purpurea","Apiaceae"
"45","Apiaceae","Perideridia montana (Blank.) Dorn","","Open",5,NA,NA,NA,NA,NA,"Perideridia gairdneri","Apiaceae"
"46","Apiaceae","Petrosedum erectum ('t Hart) Grulich*","","Shoreline",1,NA,NA,NA,NA,NA,"Petrosedum erectum","Crassulaceae"
"47","Apiaceae","Petroselinum crispum (Mill.) Fuss*","","Open",2,NA,NA,NA,NA,NA,"Petroselinum crispum","Apiaceae"
"48","Apiaceae","Pimpinella saxifraga L.*","ssp. nigra","Open",1,NA,NA,NA,NA,NA,"Pimpinella saxifraga","Apiaceae"
"49","Apiaceae","Sanicula bipinnatifida Douglas ex Hook.","","Open",12,NA,NA,NA,NA,NA,"Sanicula bipinnatifida","Apiaceae"
"50","Apiaceae","Sanicula crassicaulis Poepp. ex DC.","var. crassicaulis","Open",78,NA,NA,NA,NA,NA,"Sanicula crassicaulis","Apiaceae"
"51","Apiaceae","Sium suave Walter","","Wetland",1,NA,NA,NA,NA,NA,"Sium suave","Apiaceae"
"52","Apiaceae","Torilis arvensis (Huds.) Link*","ssp. arvensis","Open",7,NA,NA,NA,NA,NA,"Torilis arvensis","Apiaceae"
"53","Apiaceae","Yabea microcarpa (Hook. & Arn.) Koso-Pol.","","Wetland",1,NA,NA,NA,NA,NA,"Yabea microcarpa","Apiaceae"
"54","Apocynaceae","Apocynum androsaemifolium L.","","Open",2,NA,NA,NA,NA,NA,"Apocynum androsaemifolium","Apocynaceae"
"55","Apocynaceae","Vinca major L.*","","Forest",5,NA,NA,NA,NA,NA,"Vinca major","Apocynaceae"
"56","Apocynaceae","Vinca minor L.*","","Forest",1,NA,NA,NA,NA,NA,"Vinca minor","Apocynaceae"
"57","Aquifoliaceae","Ilex aquifolium L.*","","Open",24,NA,NA,NA,NA,NA,"Ilex aquifolium","Aquifoliaceae"
"58","Araceae","Arum italicum Mill.*","","Forest",3,NA,NA,NA,NA,NA,"Arum italicum","Araceae"
"59","Araceae","Lemna minor L.","","Wetland",2,NA,NA,NA,NA,NA,"Lemna minor","Araceae"
"60","Araceae","Lemna trisulca L.","","Wetland",3,NA,NA,NA,NA,NA,"Lemna trisulca","Araceae"
"61","Araceae","Lemna turionifera Landolt","","Wetland",8,NA,NA,NA,NA,NA,"Lemna turionifera","Araceae"
"62","Araceae","Lysichiton americanus Hulten & H. St. John","","Wetland",5,NA,NA,NA,NA,NA,"Lysichiton americanus","Araceae"
"63","Araceae","Spirodela polyrhiza (L.) Schleid.","","Wetland",3,NA,NA,NA,NA,NA,"Spirodela polyrhiza","Araceae"
"64","Araceae","Wolffia borealis (Engelm.) Landolt & Wildi ex Gandhi, Wiersema & Brouillet","","Wetland",2,NA,NA,NA,NA,NA,"Wolffia borealis","Araceae"
"65","Araceae","Wolffia columbiana H. Karsten","","Wetland",2,NA,NA,NA,NA,NA,"Wolffia columbiana","Araceae"
"66","Araliaceae","Hedera helix L.*","","Forest",8,NA,NA,NA,NA,NA,"Hedera helix","Araliaceae"
"67","Araliaceae","Hedera hibernica (G. Kirchn.) Bean*","","Forest",21,NA,NA,NA,NA,NA,"Hedera hibernica","Araliaceae"
"68","Aristolochiaceae","Asarum caudatum Lindl.","","Forest",2,NA,NA,NA,NA,NA,"Asarum caudatum","Aristolochiaceae"
"69","Asparagaceae","Asparagus officinalis L.*","","Open",5,NA,NA,NA,NA,NA,"Asparagus officinalis","Asparagaceae"
"70","Asparagaceae","Brodiaea coronaria (Salisb.) Engl.","","Open",62,NA,NA,NA,NA,NA,"Brodiaea coronaria","Asparagaceae"
"71","Asparagaceae","Brodiaea rosea (Greene) Baker","var. rosea","Open",5,NA,NA,NA,NA,NA,"Brodiaea coronaria rosea","Asparagaceae"
"72","Asparagaceae","Camassia leichtlinii (Baker) S. Watson","ssp. suksdorfii","Open",95,NA,NA,NA,NA,NA,"Camassia leichtlinii","Asparagaceae"
"73","Asparagaceae","Camassia quamash (Pursh) Greene","ssp. maxima","Open",15,NA,NA,NA,NA,NA,"Camassia quamash","Asparagaceae"
"74","Asparagaceae","Dichelostemma congestum (Sm.) Kunth","","Open",1,NA,NA,NA,NA,NA,"Dichelostemma congestum","Asparagaceae"
"75","Asparagaceae","Hyacinthoides xmassartiana Heist. ex Fabr.*","","Open",9,NA,NA,NA,NA,NA,"",""
"76","Asparagaceae","Maianthemum dilatatum (Alph. Wood) A. Nelson & J.F. Macbr.","","Forest",16,NA,NA,NA,NA,NA,"Maianthemum dilatatum","Asparagaceae"
"77","Asparagaceae","Maianthemum racemosum (L.) Link","ssp. amplexicaule","Forest",16,NA,NA,NA,NA,NA,"Maianthemum racemosum","Asparagaceae"
"78","Asparagaceae","Maianthemum stellatum (L.) Link","","Forest",7,NA,NA,NA,NA,NA,"Maianthemum stellatum","Asparagaceae"
"79","Asparagaceae","Muscari armeniacum Leichtlin ex Baker*","","Open",2,NA,NA,NA,NA,NA,"Muscari armeniacum","Asparagaceae"
"80","Asparagaceae","Ornithogalum umbellatum L.*","","Open",1,NA,NA,NA,NA,NA,"Ornithogalum umbellatum","Asparagaceae"
"81","Asparagaceae","Scilla forbesii (Baker) Speta*","","Open",1,NA,NA,NA,NA,NA,"Scilla forbesii","Asparagaceae"
"82","Asparagaceae","Triteleia grandiflora Lindl.","var. howellii","Open",10,NA,NA,NA,NA,NA,"Triteleia grandiflora","Asparagaceae"
"83","Asparagaceae","Triteleia hyacinthina (Lindl.) Greene","","Open",23,NA,NA,NA,NA,NA,"Triteleia hyacinthina","Asparagaceae"
"84","Aspleniaceae","Asplenium trichomanes L.","ssp. trichomanes","Open",4,NA,NA,NA,NA,NA,"Asplenium trichomanes","Aspleniaceae"
"85","Asteraceae","Achillea millefolium L.","","Open",107,NA,NA,NA,NA,NA,"Achillea millefolium","Asteraceae"
"86","Asteraceae","Adenocaulon bicolor Hook.","","Forest",9,NA,NA,NA,NA,NA,"Adenocaulon bicolor","Asteraceae"
"87","Asteraceae","Agoseris grandiflora (Nutt.) Greene","ssp. grandiflora, ssp. leptophylla","Open",20,NA,NA,NA,NA,NA,"Agoseris grandiflora","Asteraceae"
"88","Asteraceae","Agoseris heterophylla (Nutt.) Greene","var. heterophylla","Open",3,NA,NA,NA,NA,NA,"Agoseris heterophylla","Asteraceae"
"89","Asteraceae","Ambrosia chamissonis (Less.) Greene","","Shoreline",38,NA,NA,NA,NA,NA,"Ambrosia chamissonis","Asteraceae"
"90","Asteraceae","Anaphalis margaritacea (L.) Benth. & Hook. f.","","Open",12,NA,NA,NA,NA,NA,"Anaphalis margaritacea","Asteraceae"
"91","Asteraceae","Anisocarpus madioides Nutt.","","Forest",20,NA,NA,NA,NA,NA,"Anisocarpus madioides","Asteraceae"
"92","Asteraceae","Antennaria racemosa Hook.","","Open",1,NA,NA,NA,NA,NA,"Antennaria racemosa","Asteraceae"
"93","Asteraceae","Anthemis cotula L.*","","Open",2,NA,NA,NA,NA,NA,"Anthemis cotula","Asteraceae"
"94","Asteraceae","Arctium minus (Hill) Bernh.*","","Open",4,NA,NA,NA,NA,NA,"Arctium minus","Asteraceae"
"95","Asteraceae","Artemisia campestris L.","var. scouleriana","Open",17,NA,NA,NA,NA,NA,"Artemisia campestris","Asteraceae"
"96","Asteraceae","Artemisia suksdorfii Piper","","Open",5,NA,NA,NA,NA,NA,"Artemisia suksdorfii","Asteraceae"
"97","Asteraceae","Artemisia vulgaris L.*","","Open",1,NA,NA,NA,NA,NA,"Artemisia vulgaris","Asteraceae"
"98","Asteraceae","Bellis perennis L.*","","Open",23,NA,NA,NA,NA,NA,"Bellis perennis","Asteraceae"
"99","Asteraceae","Bidens beckii Torr. ex Spreng.","","Wetland",1,NA,NA,NA,NA,NA,"Bidens beckii","Asteraceae"
