"","area","Family","TaxonName","iNatTaxon","HJ_comment","FPNW_note","critical_comments","reviewed","iNat_taxon"
"1","ogi","Amaranthaceae","Amaranthus albus","Amaranthus albus","HJ Otter Bay, N Pender 1982. Foulkes Village Bay, Mayne 1926, HJ Village Bay 1980. Records at V and CPNWH appear as both albus and blitoides. (?)","","","","Amaranthus albus"
"2","ogi","Amaranthaceae","Amaranthus blitoides","Amaranthus blitoides","Miner's Bay HJ 1980 Otter Bay HJ 1982. M Foulks Mayne 1926.HJ old dump Saturna 2020.","","","","Amaranthus blitoides"
"3","ogi","Amaranthaceae","Amaranthus powellii","Amaranthus powellii","Gardens, waste ground. All islands.","","","","Amaranthus powellii"
"4","ogi","Amaranthaceae","Amaranthus retroflexus","Amaranthus retroflexus","Gardens, waste ground. All islands.","","","","Amaranthus retroflexus"
"5","ogi","Amaranthaceae","Atriplex dioica","Atriplex dioica","TRA N Pender 1957, Sczcawinski S Pender 1955.","","","","Atriplex dioica"
"6","ogi","Amaranthaceae","Atriplex gmelinii","Atriplex gmelinii","Strand and mudflats. All islands. Including A. prostrata = A. patula var hastata","","","","Atriplex gmelinii"
"7","ogi","Amaranthaceae","Chenopodium album","Chenopodium album","Gardens and waste places. All islands.","","","","Chenopodium album"
"8","ogi","Amaranthaceae","Dysphania ambrosioides","Dysphania ambrosioides","Abandoned garden and old pigpen, Saturna HJ. On Lomer & Penny's non-established list.","","","","Dysphania ambrosioides"
"9","ogi","Amaranthaceae","Oxybasis rubra var. humilis","Oxybasis rubra humilis","Salt marshes, Saturna, Tumbo, S Pender.","","","","Oxybasis rubra humilis"
"10","ogi","Amaranthaceae","Salicornia depressa","Salicornia depressa","Bennett Wise Island 2001. Lamb and Gibbs Galiano location? iNaturalist report Mortimer Spit, N Pender 2017.","","","","Salicornia depressa"
"11","ogi","Amaranthaceae","Sarcocornia perennis","Salicornia perennis","Mud flats, salt marshes and beaches. All islands.","recorded by HJ: ‘Salicornia pacifica’; “FPNW2 appears to be following FNA (2003) which reports Sarcocornia perennis (prostrate, with woody stems readily rooting in the substrate) from BC and S. pacifica (procumbent to erect shrubs in which woody stems usually do not root) to include east coast of North America (New Hampshire south to Florida) , California and Mexico, but NOT BC. http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=129207; VASCAN has updated their names to Salicornia pacifica following a more recent treatment by Piirainen et al. 2017 that proposes a new infrageneric classification for Salicornia (incl. Sarcocornia) and shows Salicornia pacifica present in BC.Salicornia perennis is excluded. http://data.canadensys.net/vascan/search?q=sarcocorniaSo, you could move ahead of the pack and call your material Salicornia pacifica Standley sensu Piirianen et al. 2017 OR you could use the synonym Sarcocornia pacifica. I’ll propose the name change (Sarcocornia pacifica to Salicornia pacifica) for fall review, but it would not show up in Species Explorer/E-Flora until next year.” –MD","","","Salicornia perennis"
"12","ogi","Amaryllidaceae","Allium acuminatum","Allium acuminatum","Grassy, south facing bluffs. All islands.","","","AS","Allium acuminatum"
"13","ogi","Amaryllidaceae","Allium amplectens","Allium amplectens","Saturna, Samuel, Mayne, Galiano, North Pender. Grassy ledges, sometimes with vernal seepage. All known popuations consist of several hundred plants in very small area with no apparent spreading to nearby similar habitat. Several populations just above high tide line in Active Pass.","","","AS","Allium amplectens"
"14","ogi","Amaryllidaceae","Allium cernuum","Allium cernuum","South facing bluffs, dry ridges throughout, all islands.","","","AS","Allium cernuum"
"15","ogi","Amaryllidaceae","Allium crenulatum","Allium crenulatum","L. Clark collection Bald Cone North Pender. Not relocated at site. Accidental possibly single plant of usually high elevation species.","","","","Allium crenulatum"
