Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Trichaptum abietinum,(Dicks.) Ryvarden,,violet-pored bracket fungus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Hymenochaetales,,,incertae sedis,,,Trichaptum,abietinum,,,,,,,reported,unobserved,2009-05,Kent Brothers,VMS,,,,,,,118115,FUN
Hericium abietis,(Weir ex Hubert) K.A. Harrison,,bear’s head,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Hericiaceae,,,Hericium,abietis,,,,,,,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2018-10-28,Karen Elisabeth Harris,https://www.inaturalist.org/observations/17918884,,55187,FUN
Connopus acervatus,(Fr.) R.H. Petersen,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Tricholomataceae,,,Connopus,acervatus,,,,,,,reported,unobserved,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,,,,,565396,FUN
Helvella acetabulum,(L.) Quél.,,vinegar cup,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Helvellaceae,,,Helvella,acetabulum,,,,,,,reported,unobserved,2011-05-14,Kent Brothers,UBC,F22505,,,,,,57462,FUN
Atheniella adonis,(Bull.),,scarlet bonnet,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Marasmiineae,,Porotheleaceae,,,Atheniella,adonis,,,,,,,reported,unobserved,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,485685,FUN
Bjerkandera adusta,,,Smoky polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Phanerochaetaceae,,,Bjerkandera,adusta,,,,,,,new 2020,observed,,,,,,2020-02-08,ssilverman,https://www.inaturalist.org/observations/38440421,,118038,FUN
Russula adusta,,,Blackening Russula,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,Russula,adusta,,,,,,,new 2021,observed,,,,,,2021-02-06,catiemac,https://www.inaturalist.org/observations/69286683,,194408,FUN
Chlorociboria aeruginascens,"(Nyl.) Kanouse ex C.S. Ramamurthi, Korf & L.R. Batra",,green wood cup,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,,,Helotiales,,,Chlorociboriaceae,,,Chlorociboria,aeruginascens,,,,,,,reported,unobserved,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,,,,,122329,FUN
Stropharia aeruginosa,,,blue-green stropharia,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,Stropharia,aeruginosa,,,,,,,reported,unobserved,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,55583,FUN
Leucopaxillus albissimus,,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Tricholomataceae,,,Leucopaxillus,albissimus,,,,,,,reported,unobserved,2016-11-01,Rene Zich,15th Galiano Mushroom Festival List,,,,,,,67351,FUN
Russula albonigra,,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,Russula,albonigra,,,,,,,reported,unobserved,2016-11,Rene Zich,15th Galiano Mushroom Festival List,,,,,,,202417,FUN
Mycena alcalina,,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Marasmiineae,,Mycenaceae,,,Mycena,alcalina,,,,,,,reported,unobserved,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,179707,FUN
Guepiniopsis alpina,(Earle) Brasf.,,golden jelly cone,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,Guepiniopsis,alpina,,,,,,,confirmed,observed,2009-05,Kent Brothers,VMS,,,2019-01-11,Andrew Simon,https://www.inaturalist.org/observations/19596586,,118032,FUN
Otidea alutacea,(Pers.) Fuckel,,donkey ears,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Otideaceae,,,Otidea,alutacea,,,,,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2021-10-20,Caitlin Robinson,https://www.inaturalist.org/observations/98854664,,118009,FUN
Leucopaxillus amarus,,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Tricholomataceae,,,Leucopaxillus,amarus,,,,,,,reported,unobserved,2016-11-01,Rene Zich,15th Galiano Mushroom Festival List,,,,,,,194715,FUN
Stropharia ambigua,(Peck) Zeller,,questionable stropharia,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,Stropharia,ambigua,,,,,,,confirmed,observed,2010-04-17,Paul Kroeger,UBC,F22070,,2016-03-24,Tyson Ehlers,https://www.inaturalist.org/observations/8944209,,53284,FUN
Tephrocybe ambusta,,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Lyophyllaceae,,,Tephrocybe,ambusta,,,,,,,reported,unobserved,2007-04-05,Oluna Ceska,UBC,F29214,,,,,,500293,FUN
Laccaria amethysteo-occidentalis,G.M. Muell.,,western amethyst laccaria,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Hydnangiaceae,,,Laccaria,amethysteo-occidentalis,,,,,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2013-10-11,Ian Guthrie,http://www.inaturalist.org/observations/4210107,,54893,FUN
Cystoderma amianthinum,(Scop.) Fayod,,saffron parasol,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Squamanitaceae,,,Cystoderma,amianthinum,,,,,,,reported,unobserved,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,,,,,337956,FUN
Gyromitra ancilis,(Pers.) Kreisel,,,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Discinaceae,,,Gyromitra,ancilis,,,,,,,confirmed,observed,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2018-04-09,Kevin Toomer,https://www.inaturalist.org/observations/10822697,,950530,FUN
Heterobasidion annosum,(Fr.) Bref.,,annosus root & butt rot,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Bondarzewiaceae,,,Heterobasidion,annosum,,,,,,,reported,unobserved,2007-04-01,Kent Brothers,VMS,,,,,,,194485,FUN
Conocybe apala,(Fr.) Arnolds,,white conehead,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Agaricales,Agaricineae,,Bolbitiaceae,,,Conocybe,apala,,,,,,,reported,unobserved,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,117227,FUN
Ganoderma applanatum,(Pers.) Pat.,,artist's conk,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,Ganoderma,applanatum,,,,,,,confirmed,observed,2016-11-01,Rene Zich,15th Galiano Mushroom Festival List,,,2016-08-14,Andrew Simon,http://www.inaturalist.org/observations/3890889,,48473,FUN
