Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name,Observation Taxon Name
Abortiporus biennis,,,Blushing Rosette,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Podoscyphaceae,,,Abortiporus,biennis,,,,,,,new 2018,observed,,,,,,2018-10-31,Christopher Heffley,iNat:17996751,,118041,FUN,accepted,118041,Abortiporus biennis,Abortiporus biennis,Abortiporus biennis
Abrothallus usneae,Rabenh.,,lichenicole,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,,,Abrothallales,,,Lichenoconiaceae,,,Abrothallus,usneae,,,,native,unlisted,,new 2022,observed,,,,,,2022-03-11,Alejandro Huereca Delgado,iNat:108407473,,462228,FUN,accepted,462228,Abrothallus usneae,Abrothallus usneae,Abrothallus usneae
Abrothallus welwitschii,Mont. ex Tul.,,lichenicole,Fungi,Ascomycota,Pezizomycotina,,Dothideomycetes,,,Abrothallales,,,Lichenoconiaceae,,,Abrothallus,welwitschii,,,,native,unlisted,,new 2021,observed,,,,,,2021-10-23,Alejandro Huereca Delgado,iNat:101068179,,212194,FUN,accepted,212194,Abrothallus welwitschii,Abrothallus welwitschii,Abrothallus welwitschii
Agaricus arvensis,Schaeff.,,horse mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,Agaricus,arvensis,,,,,,,reported,unobserved,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,58699,FUN,accepted,58699,Agaricus arvensis,Agaricus arvensis,
Agaricus augustus,Fr.,,the Prince,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,Agaricus,augustus,,,,,,,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2017-06-20,Andrew Simon,iNat:9150741,,49547,FUN,accepted,49547,Agaricus augustus,Agaricus augustus,Agaricus augustus
Agaricus bisporus,(J.E. Lange) Imbach,,button ‘money’s’ mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,Agaricus,bisporus,,,,,,,reported,unobserved,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,61395,FUN,accepted,61395,Agaricus bisporus,Agaricus bisporus,
Agaricus campestris,L.,,meadow mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,Agaricus,campestris,,,,,,,reported,unobserved,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,143563,FUN,accepted,143563,Agaricus campestris,Agaricus campestris,
Agaricus deardorffensis,,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,Agaricus,deardorffensis,,,,,,,new 2020,observed,,,,,,2020-10-10,Adam Huggins,iNat:62307250,,521662,FUN,accepted,521662,Agaricus deardorffensis,Agaricus deardorffensis,Agaricus deardorffensis
Agaricus diminutivus,Peck,,diminuitive agaricus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,Agaricus,diminutivus,,,,,,,reported,unobserved,2016-02,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,118387,FUN,accepted,118387,Agaricus diminutivus,Agaricus diminutivus,
Agaricus hondensis,Murrill,,felt-ringed agaricus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,Agaricus,hondensis,,,,,,,confirmed,observed,2016-11-07,Rene Zich,15th Galiano Mushroom Festival List,,,2019-10-06,Sarah Tweedale,iNat:33973884,,118386,FUN,accepted,118386,Agaricus hondensis,Agaricus hondensis,Agaricus hondensis
