eventDate,institutionCode,datasetName,recordedBy,scientificName,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily
,UBC,,,Alectoria vancouverensis,(Gyeln.) Brodo & D. Hawksw.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
,UBC,,,Amandinea punctata,(Hoffm.) Coppins & Scheid.,Tiny button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Caliciaceae,
,UBC,,,Amandinea turgescens,(Tuck.) Marbach,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Caliciaceae,
,UBC,,,Arthothelium spectabile,(Flot.) A. Massal.,,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,?,
,UBC,,,Aspicilia leprosescens,(Sandst.) Hav.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Pertusariales,,,Megasporaceae,
,UBC,,,Bryoria friabilis,Brodo & D. Hawksw.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
,UBC,,,Bryoria tortuosa,(G. Merr.) Brodo & D. Hawksw.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
,UBC,,,Buellia penichra,(Tuck.) Hasse,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Caliciaceae,
,UBC,,,Buellia polyspora,(Willey) Vain.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Caliciaceae,
,UBC,,,Calicium viride,Pers.,Green stubble lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Caliciaceae,
,UBC,,,Caloplaca arenaria,(Pers.) Müll. Arg.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,
,UBC,,,Caloplaca atroflava,(Turner) Mong.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,
,UBC,,,Caloplaca luteominia var. luteominia,(Tuck.) Zahlbr.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,
,UBC,,,Caloplaca obliterans,(Nyl.) Blomb. & Forssell,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,
,UBC,,,Chaenotheca ferruginea,(Turner ex Sm.) Mig.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,?,,,Coniocybaceae,
,UBC,,,Chrysothrix candelaris,(L.) J.R. Laundon,Gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,
,UBC,,,Pyrenocollema halodytes,(Nyl.) R.C. Harris,,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Pyrenulales,,,Xanthopyreniaceae,
,UBC,,,Tuckermannopsis chlorophylla,(Willd.) Hale,Powdered wrinkle lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
,UBC,,,Tuckermannopsis ciliaris,(Ach.) Gyeln.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
,UBC,,,Tuckermannopsis orbata,(Nyl.) M.J. Lai,Variable wrinkle lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,
20120512,,VMS,,Abies grandis,,Grand fir,Plantae,Streptophyta,,,Equisetopsida,Pinidae,,Pinales,,,Pinaceae,
20120512,,VMS,,Acer macrophyllum,,Bigleaf/broadleaf maple,Plantae,Streptophyta,,,Equisetopsida,Magnoliidae,Rosanae,Sapindales,,,Aceraceae,
20120512,,VMS,,Achillea millefolium,,Yarrow,Plantae,Streptophyta,,,Equisetopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,
20120512,,VMS,,Achlys triphylla,,Vanilla leaf,Plantae,Streptophyta,,,Equisetopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Berberidaceae,
20120512,,VMS,,Adenocaulon bicolor,,Pathfinder,Plantae,Streptophyta,,,Equisetopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,
