Polygon #,habitat,Dominance,Common name,scientificName,% cover
18,Lake shore-shaded forest,,Common horsetail ,Equisetum arvense,12
19,Lake shore-rock/grass,,Common horsetail ,Equisetum arvense,P
34,,,Common horsetail ,Equisetum arvense,3
37,,,Common horsetail ,Equisetum arvense,P
42,,2,Common horsetail ,Equisetum arvense,38
1,,2,Common rush ,Juncus effusus,10
7,,,Common rush ,Juncus effusus,2
8,,2,Common rush ,Juncus effusus,15
10,,1,Common rush ,Juncus effusus,40
12,,2,Common rush ,Juncus effusus,12
13,Pond,,Common rush ,Juncus effusus,2
15,,2,Common rush ,Juncus effusus,20
17,Lake shore-grass,1,Common rush ,Juncus effusus,30
19,Lake shore-rock/grass,3,Common rush ,Juncus effusus,5
21,,2,Common rush ,Juncus effusus,15
28,Log Island in lake; abundant salamander eggs along log,1,Common rush ,Juncus effusus,30
44,,3,Common rush ,Juncus effusus,12
45,,2,Common rush ,Juncus effusus,12
19,Lake shore-rock/grass,,Common velvet grass ,Holcus lanatus,P
28,Log Island in lake; abundant salamander eggs along log,2,Common velvet grass ,Holcus lanatus,20
14,Wetland grasses,1,Creeping spike-rush ,Eleocharis palustris,35
23,,2,Creeping spike-rush ,Eleocharis palustris,7
24,,,Creeping spike-rush ,Eleocharis palustris,P
29,,1,Creeping spike-rush ,Eleocharis palustris,75
7,,2,Douglas fir ,Pseudotsuga menziesii ssp. menziesii,30
18,Lake shore-shaded forest,1,Douglas fir ,Pseudotsuga menziesii ssp. menziesii,50
39,Forest-100yr. Old forest-perhaps '01' site series,1,Douglas fir ,Pseudotsuga menziesii ssp. menziesii,65
41,Forest-60-80 yr. Old stand,2,Douglas fir ,Pseudotsuga menziesii ssp. menziesii,15
15,,3,Douglas' water-hemlock ,Cicuta douglasii,7
15,,,Field mint ,Mentha arvensis,2
17,Lake shore-grass,3,Field mint ,Mentha arvensis,2
19,Lake shore-rock/grass,,Field mint ,Mentha arvensis,P
25,,,Field mint ,Mentha arvensis,P
28,Log Island in lake; abundant salamander eggs along log,3,Field mint ,Mentha arvensis,10
30,,3,Field mint ,Mentha arvensis,8
31,,2,Field mint ,Mentha arvensis,10
33,Transitional area B/N 26 & 32,2,Field mint ,Mentha arvensis,8
17,Lake shore-grass,,Fireweed ,Epilobium angustifolium,P
28,Log Island in lake; abundant salamander eggs along log,,Fireweed ,Epilobium angustifolium,P
20,Aquatic Vegetation and Algae (including stumps),1,Floating-leaved pondweed ,Potamogeton natans,n
23,,,Floating-leaved pondweed ,Potamogeton natans,10
32,Muddy Shore/Back of lake,2,Floating-leaved pondweed ,Potamogeton natans,20
