"Order","Order_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Collection_List","Accession_Number","Historical_metadata","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link","story_text"
"Adder's-tongue (Ophioglossales)","Ophioglossales","Remaining historical report","Sceptridium multifidum","Harvey Janszen",NA,"RBCM","V097818"," (RBCM, V097818)","1979-06-08",NA,NA,NA,NA,"In 1979, Harvey Janszen (RBCM, V097818) reported this taxon of adder's-tongue, which has not been seen since."
"Asparagus & orchids (Asparagales)","Asparagales","Confirmed record","Allium cernuum","Jenifer Penny, Charlotte Norris, & Harvey Janszen","Adam Huggins","RBCM","V178592"," (RBCM, V178592)","1996-05-21","2016-05-25",NA,"3318682","https://www.inaturalist.org/observations/3318682","In 1996, Jenifer Penny, Charlotte Norris, & Harvey Janszen (RBCM, V178592) reported this taxon of asparagus & orchids, which was later confirmed by Adam Huggins in 2016."
"Beech & oak (Fagales)","Fagales","Confirmed record","Quercus garryana var. garryana","Angela Wood","T. Abe Lloyd","RBCM","V097386"," (RBCM, V097386)","1975-05-31","2011-12-22",NA,"38191914","https://www.inaturalist.org/observations/38191914","In 1975, Angela Wood (RBCM, V097386) reported this taxon of beech & oak, which was later confirmed by T. Abe Lloyd in 2011."
"Bittersweet (Celastrales)","Celastrales","Confirmed record","Paxistima myrsinites","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-02-15",NA,"2561669","https://www.inaturalist.org/observations/2561669","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of bittersweet, which was later confirmed by Andrew Simon in 2015."
"Borage (Boraginales)","Boraginales","Remaining historical report","Symphytum × uplandicum","Terry Taylor",NA,"Vascular Plants Seen on Galiano Island",NA," (Vascular Plants Seen on Galiano Island)","2012-04-21",NA,NA,NA,NA,"In 2012, Terry Taylor (Vascular Plants Seen on Galiano Island) reported this taxon of borage, which has not been seen since."
"Borage (Boraginales)","Boraginales","Confirmed record","Phacelia linearis","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2017-05-13",NA,"6217942","https://www.inaturalist.org/observations/6217942","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of borage, which was later confirmed by Andrew Simon in 2017."
"Buttercups (Ranunculales)","Ranunculales","Remaining historical report","Ranunculus aquatilis","Harvey Janszen",NA,"RBCM","V112752"," (RBCM, V112752)","1979-06-08",NA,NA,NA,NA,"In 1979, Harvey Janszen (RBCM, V112752) reported this taxon of buttercups, which has not been seen since."
"Buttercups (Ranunculales)","Ranunculales","Confirmed record","Papaver somniferum","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2018-06-11",NA,"14282411","https://www.inaturalist.org/observations/14282411","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of buttercups, which was later confirmed by Andrew Simon in 2018."
"Carrot & ginseng (Apiales)","Apiales","Remaining historical report","Angelica genuflexa","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of carrot & ginseng, which has not been seen since."
"Carrot & ginseng (Apiales)","Apiales","Confirmed record","Perideridia gairdneri","Gerald B. Straley","Andrew Simon","UBC","V200558"," (UBC, V200558)","1989-08-22","2022-05-11",NA,"116636224","https://www.inaturalist.org/observations/116636224","In 1989, Gerald B. Straley (UBC, V200558) reported this taxon of carrot & ginseng, which was later confirmed by Andrew Simon in 2022."
"Clubmoss (Lycopodiales)","Lycopodiales","Remaining historical report","Lycopodium clavatum","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of clubmoss, which has not been seen since."
"Coontails (Ceratophyllales)","Ceratophyllales","Confirmed record","Ceratophyllum echinatum","Harvey Janszen, Jenifer Penny & Charlotte Norris","Andrew Simon, Quentin Cronk, Diana Percy, Carmen Lea, Jessica Duncan & Harley Gordon","RBCM","V170227"," (RBCM, V170227)","1996-05-01","2019-05-04",NA,"24653208","https://www.inaturalist.org/observations/24653208","In 1996, Harvey Janszen, Jenifer Penny & Charlotte Norris (RBCM, V170227) reported this taxon of coontails, which was later confirmed by Andrew Simon, Quentin Cronk, Diana Percy, Carmen Lea, Jessica Duncan & Harley Gordon in 2019."
"Dogwoods (Cornales)","Cornales","Confirmed record","Cornus sericea ssp. occidentalis","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2018-05-13",NA,"15412701","https://www.inaturalist.org/observations/15412701","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of dogwoods, which was later confirmed by Andrew Simon in 2018."
"Floating ferns (Salviniales)","Salviniales","New record","Azolla sp.",NA,"Emma Menchions",NA,NA,"",NA,"2025-05-29",2025,"285524909","https://www.inaturalist.org/observations/285524909","In 2025, Emma Menchions reported this taxon of floating ferns as new for Galiano Island."
"Gentians (Gentianales)","Gentianales","Remaining historical report","Galium mollugo","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of gentians, which has not been seen since."
"Gentians (Gentianales)","Gentianales","Confirmed record","Vinca minor","Harvey Janszen","Kris Krüg","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2017-04-06",NA,"5591805","https://www.inaturalist.org/observations/5591805","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of gentians, which was later confirmed by Kris Krüg in 2017."
"Geraniums (Geraniales)","Geraniales","Remaining historical report","Geranium pusillum","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of geraniums, which has not been seen since."
"Geraniums (Geraniales)","Geraniales","Confirmed record","Geranium dissectum","Harvey Janszen","Lauren Magner","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-05-28",NA,"2625746","https://www.inaturalist.org/observations/2625746","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of geraniums, which was later confirmed by Lauren Magner in 2015."
"Grasses (Poales)","Poales","Remaining historical report","Poa nemoralis","Harvey Janszen",NA,"RBCM","V129588"," (RBCM, V129588)","1984-06-02",NA,NA,NA,NA,"In 1984, Harvey Janszen (RBCM, V129588) reported this taxon of grasses, which has not been seen since."
"Grasses (Poales)","Poales","Confirmed record","Glyceria leptostachya","Harvey Janszen","Andrew Simon","RBCM","V120299"," (RBCM, V120299)","1982-07-20","2018-06-07",NA,"13224813","https://www.inaturalist.org/observations/13224813","In 1982, Harvey Janszen (RBCM, V120299) reported this taxon of grasses, which was later confirmed by Andrew Simon in 2018."
"Grasses (Poales)","Poales","New record","Calamagrostis canadensis",NA,"Andrew Simon",NA,NA,"",NA,"2024-08-12",2024,"235463302","https://www.inaturalist.org/observations/235463302","In 2024, Andrew Simon reported this taxon of grasses as new for Galiano Island."
"Heath & blueberries (Ericales)","Ericales","Remaining historical report","Primula pauciflora var. pauciflora","Harvey Janszen",NA,"RBCM","V129550"," (RBCM, V129550)","1984-06-02",NA,NA,NA,NA,"In 1984, Harvey Janszen (RBCM, V129550) reported this taxon of heath & blueberries, which has not been seen since."
"Heath & blueberries (Ericales)","Ericales","Confirmed record","Lysimachia europaea ssp. arctica","Hans Roemer","Lauren Magner","ER 128 Inventory",NA," (ER 128 Inventory)","2000-06-12","2016-05-24",NA,"3296137","https://www.inaturalist.org/observations/3296137","In 2000, Hans Roemer (ER 128 Inventory) reported this taxon of heath & blueberries, which was later confirmed by Lauren Magner in 2016."
"Heath & blueberries (Ericales)","Ericales","New record","Lysimachia nummularia",NA,"Andrew Simon",NA,NA,"",NA,"2025-05-29",2025,"285513561","https://www.inaturalist.org/observations/285513561","In 2025, Andrew Simon reported this taxon of heath & blueberries as new for Galiano Island."
"Holly (Aquifoliales)","Aquifoliales","Confirmed record","Ilex aquifolium","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-02-22",NA,"2566288","https://www.inaturalist.org/observations/2566288","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of holly, which was later confirmed by Andrew Simon in 2015."
"Honeysuckles (Dipsacales)","Dipsacales","Remaining historical report","Plectritis macrocera","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of honeysuckles, which has not been seen since."
"Honeysuckles (Dipsacales)","Dipsacales","Confirmed record","Linnaea borealis ssp. longiflora","Harvey Janszen","Lauren Magner","RBCM","V097816"," (RBCM, V097816)","1979-06-08","2015-05-28",NA,"2621405","https://www.inaturalist.org/observations/2621405","In 1979, Harvey Janszen (RBCM, V097816) reported this taxon of honeysuckles, which was later confirmed by Lauren Magner in 2015."
"Horsetails (Equisetales)","Equisetales","Confirmed record","Equisetum arvense","Harvey Janszen","Lauren Magner","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2015-03-13",NA,"2589232","https://www.inaturalist.org/observations/2589232","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of horsetails, which was later confirmed by Lauren Magner in 2015."
"Legumes (Fabales)","Fabales","Remaining historical report","Lathyrus sylvestris","Matt Fairbarns",NA,"Vascular Plant Survey of a Rock Bluff System on Galiano Island2016(unpublished technical report)",NA," (Vascular Plant Survey of a Rock Bluff System on Galiano Island2016(unpublished technical report))","1905-07-08",NA,NA,NA,NA,"In 1905, Matt Fairbarns (Vascular Plant Survey of a Rock Bluff System on Galiano Island2016(unpublished technical report)) reported this taxon of legumes, which has not been seen since."
"Legumes (Fabales)","Fabales","Confirmed record","Vicia lathyroides","Frank Lomer","Andrew Simon","UBC","V241921"," (UBC, V241921)","2014-05-14","2022-04-30",NA,"114122090","https://www.inaturalist.org/observations/114122090","In 2014, Frank Lomer (UBC, V241921) reported this taxon of legumes, which was later confirmed by Andrew Simon in 2022."
"Legumes (Fabales)","Fabales","New record","Trifolium fragiferum",NA,"aanderson72",NA,NA,"",NA,"2025-05-16",2025,"281623731","https://www.inaturalist.org/observations/281623731","In 2025, aanderson72 reported this taxon of legumes as new for Galiano Island."
"Lilies (Liliales)","Liliales","Confirmed record","Lilium columbianum","Harvey Janszen","Felix Erhard","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2013-06-05",NA,"2570696","https://www.inaturalist.org/observations/2570696","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of lilies, which was later confirmed by Felix Erhard in 2013."
"Mallows (Malvales)","Malvales","Remaining historical report","Alcea rosea","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of mallows, which has not been seen since."
"Mallows (Malvales)","Malvales","Confirmed record","Daphne laureola","Gerald Straley & K. Nichols","Andrew Simon","RBCM","V144086"," (RBCM, V144086)","1989-04-06","2016-01-20",NA,"2602959","https://www.inaturalist.org/observations/2602959","In 1989, Gerald Straley & K. Nichols (RBCM, V144086) reported this taxon of mallows, which was later confirmed by Andrew Simon in 2016."
"Maple & citrus (Sapindales)","Sapindales","Confirmed record","Acer glabrum var. douglasii","Harvey Janszen","Adam Huggins","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2016-08-10",NA,"3852586","https://www.inaturalist.org/observations/3852586","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of maple & citrus, which was later confirmed by Adam Huggins in 2016."
"Mints (Lamiales)","Lamiales","Remaining historical report","Utricularia macrorhiza","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of mints, which has not been seen since."
"Mints (Lamiales)","Lamiales","Confirmed record","Erythranthe cf guttata","Angela Wood","Andrew Simon","RBCM","V097336"," (RBCM, V097336)","1975-05-13","2017-05-19",NA,"6425142","https://www.inaturalist.org/observations/6425142","In 1975, Angela Wood (RBCM, V097336) reported this taxon of mints, which was later confirmed by Andrew Simon in 2017."
"Mustard (Brassicales)","Brassicales","Remaining historical report","Cardamine occidentalis",NA,NA,"Hunterston Farms Bioblitz 2010","HUNTERSTON2010:51"," (Hunterston Farms Bioblitz 2010, HUNTERSTON2010:51)","2010-05-22",NA,NA,NA,NA,"In 2010, this taxon of mustard was historically reported (Hunterston Farms Bioblitz 2010, HUNTERSTON2010:51), but it has not been seen since."
"Mustard (Brassicales)","Brassicales","Confirmed record","Raphanus sativus","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2018-05-08",NA,"12315531","https://www.inaturalist.org/observations/12315531","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of mustard, which was later confirmed by Andrew Simon in 2018."
"Mustard (Brassicales)","Brassicales","New record","Aubrieta deltoidea",NA,"David Clements",NA,NA,"",NA,"2025-05-06",2025,"279370109","https://www.inaturalist.org/observations/279370109","In 2025, David Clements reported this taxon of mustard as new for Galiano Island."
"Myrtles (Myrtales)","Myrtales","Confirmed record","Epilobium brachycarpum","Harvey Janszen","Adam Huggins","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2018-07-25",NA,"14770798","https://www.inaturalist.org/observations/14770798","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of myrtles, which was later confirmed by Adam Huggins in 2018."
"Nightshades (Solanales)","Solanales","Remaining historical report","Solanum sarrachoides","Harvey Janszen",NA,"Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26",NA,NA,NA,NA,"In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of nightshades, which has not been seen since."
"Nightshades (Solanales)","Solanales","Confirmed record","Solanum americanum","Harvey Janszen","Sylvie Hawkes","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2020-09-07",NA,"62566198","https://www.inaturalist.org/observations/62566198","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of nightshades, which was later confirmed by Sylvie Hawkes in 2020."
"Pines (Pinales)","Pinales","Confirmed record","Taxus brevifolia","Kent Brothers","T. Abe Lloyd","VMS Private List",NA," (VMS Private List)",NA,"2011-12-22",NA,"38191923","https://www.inaturalist.org/observations/38191923","This taxon of pines was later confirmed by T. Abe Lloyd in 2011."
"Pink & cactus (Caryophyllales)","Caryophyllales","Remaining historical report","Arenaria serpyllifolia var. serpyllifolia","Harvey Janszen",NA,"RBCM","V097814"," (RBCM, V097814)","1979-06-28",NA,NA,NA,NA,"In 1979, Harvey Janszen (RBCM, V097814) reported this taxon of pink & cactus, which has not been seen since."
"Pink & cactus (Caryophyllales)","Caryophyllales","Confirmed record","Spergula arvensis","Harvey Janszen","Andrew Simon","Private List Aug 26 2001",NA," (Private List Aug 26 2001)","2001-08-26","2018-04-07",NA,"10771293","https://www.inaturalist.org/observations/10771293","In 2001, Harvey Janszen (Private List Aug 26 2001) reported this taxon of pink & cactus, which was later confirmed by Andrew Simon in 2018."
"Pink & cactus (Caryophyllales)","Caryophyllales","New record","Silene dioica",NA,"Madeline Hart",NA,NA,"",NA,"2025-05-19",2025,"284011807","https://www.inaturalist.org/observations/284011807","In 2025, Madeline Hart reported this taxon of pink & cactus as new for Galiano Island."
"Roses (Rosales)","Rosales","Remaining historical report","Ceanothus sanguineus","Hans Roemer",NA,"RBCM","V186369"," (RBCM, V186369)","1995-05-11",NA,NA,NA,NA,"In 1995, Hans Roemer (RBCM, V186369) reported this taxon of roses, which has not been seen since."
"Roses (Rosales)","Rosales","Confirmed record","Spiraea douglasii var. douglasii","Hans Roemer","Lauren Magner","ER 128 Inventory",NA," (ER 128 Inventory)","2000-06-12","2015-07-02",NA,"2561767","https://www.inaturalist.org/observations/2561767","In 2000, Hans Roemer (ER 128 Inventory) reported this taxon of roses, which was later confirmed by Lauren Magner in 2015."
"Roses (Rosales)","Rosales","New record","Prunus lusitanica",NA,"Liam Ragan",NA,NA,"",NA,"2024-04-27",2024,"210511398","https://www.inaturalist.org/observations/210511398","In 2024, Liam Ragan reported this taxon of roses as new for Galiano Island."
"Saxifrages (Saxifragales)","Saxifragales","Remaining historical report","Crassula connata","Harvey Janszen",NA,"RBCM","V129552"," (RBCM, V129552)","1983-03-27",NA,NA,NA,NA,"In 1983, Harvey Janszen (RBCM, V129552) reported this taxon of saxifrages, which has not been seen since."
