"Family","Family_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Collection_List","Accession_Number","Historical_metadata","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link","story_text"
"Plovers (Charadriidae)","Charadriidae","Confirmed record","Charadrius vociferus","Galiano Naturalist","Sarah Tweedale","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2015-10-16",NA,"2929529","https://www.inaturalist.org/observations/2929529","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of plovers, which was later confirmed by Sarah Tweedale in 2015."
"Sandpipers & allies (Scolopacidae)","Scolopacidae","Remaining historical report","Calidris mauri","Galiano Naturalist",NA,"Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016",NA,NA,NA,NA,"In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of sandpipers & allies, which has not been seen since."
"Sandpipers & allies (Scolopacidae)","Scolopacidae","Confirmed record","Arenaria melanocephala","Galiano Naturalist","Chessi Miltner","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2016-08-08",NA,"3840469","https://www.inaturalist.org/observations/3840469","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of sandpipers & allies, which was later confirmed by Chessi Miltner in 2016."
"Shrikes (Laniidae)","Laniidae","Confirmed record","Lanius borealis","Galiano Naturalist","Adam Jermakow","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2018-12-17",NA,"19202265","https://www.inaturalist.org/observations/19202265","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of shrikes, which was later confirmed by Adam Jermakow in 2018."
"Starlings (Sturnidae)","Sturnidae","Confirmed record","Sturnus vulgaris","Galiano Naturalist","Michael Hoebel","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2008-05-10",NA,"19548204","https://www.inaturalist.org/observations/19548204","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of starlings, which was later confirmed by Michael Hoebel in 2008."
"Swallows & martins (Hirundinidae)","Hirundinidae","Confirmed record","Hirundo rustica erythrogaster","Galiano Naturalist","Andrew Simon","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2016-08-08",NA,"3840481","https://www.inaturalist.org/observations/3840481","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of swallows & martins, which was later confirmed by Andrew Simon in 2016."
"Swifts (Apodidae)","Apodidae","Remaining historical report","Cypseloides niger","Galiano Naturalist",NA,"Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016",NA,NA,NA,NA,"In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of swifts, which has not been seen since."
"Thrushes (Turdidae)","Turdidae","Confirmed record","Catharus guttatus","Galiano Naturalist","Michael Hoebel","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2013-04-28",NA,"4046977","https://www.inaturalist.org/observations/4046977","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of thrushes, which was later confirmed by Michael Hoebel in 2013."
"Thrushes (Turdidae)","Turdidae","New record","Sialia currucoides",NA,"Kevin Toomer",NA,NA,"",NA,"2023-04-26",2023,"156826200","https://www.inaturalist.org/observations/156826200","In 2023, Kevin Toomer reported this taxon of thrushes as new for Galiano Island."
"Treecreepers (Certhiidae)","Certhiidae","Confirmed record","Certhia americana","Galiano Naturalist","lesfreck","Galiano Bird Checklist",NA," (Galiano Bird Checklist)","2016","2011-07-25",NA,"86518607","https://www.inaturalist.org/observations/86518607","In 2016, Galiano Naturalist (Galiano Bird Checklist) reported this taxon of treecreepers, which was later confirmed by lesfreck in 2011."
