"Order","Order_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Collection_List","Accession_Number","Historical_metadata","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link","story_text"
"Ants, bees & wasps (Hymenoptera)","Hymenoptera","Remaining historical report","Bombus occidentalis","Geoffrey G.E. Scudder",NA,"SEM","SEM-UBC HYM-3125"," (SEM, SEM-UBC HYM-3125)","1974-04-27",NA,NA,NA,NA,"In 1974, Geoffrey G.E. Scudder (SEM, SEM-UBC HYM-3125) reported this species of ants, bees & wasps, which has not been seen since."
"Ants, bees & wasps (Hymenoptera)","Hymenoptera","Confirmed record","Trichiosoma triangulum","Geoffrey G.E. Scudder","Charlene Wood","SEM","SEM-UBC HYM-11676"," (SEM, SEM-UBC HYM-11676)","1991-06-13","2019-05-04",NA,"24568373","https://www.inaturalist.org/observations/24568373","In 1991, Geoffrey G.E. Scudder (SEM, SEM-UBC HYM-11676) reported this species of ants, bees & wasps, which was later confirmed by Charlene Wood in 2019."
"Ants, bees & wasps (Hymenoptera)","Hymenoptera","New record","Orussus occidentalis",NA,"Chris Ratzlaff",NA,NA,"",NA,"2024-06-13",2024,"243269485","https://www.inaturalist.org/observations/243269485","In 2024, Chris Ratzlaff reported this species of ants, bees & wasps as new for Galiano Island."
"Barklice & booklice (Psocodea)","Psocodea","New record","Psocus leidyi",NA,"Kevin Toomer",NA,NA,"",NA,"2024-09-01",2024,"239297364","https://www.inaturalist.org/observations/239297364","In 2024, Kevin Toomer reported this species of barklice & booklice as new for Galiano Island."
"Beetles (Coleoptera)","Coleoptera","Remaining historical report","Thalycra sinuata","Geoffrey G.E. Scudder",NA,"SEM","SEM-UBC COL-25378"," (SEM, SEM-UBC COL-25378)","1973-09-01",NA,NA,NA,NA,"In 1973, Geoffrey G.E. Scudder (SEM, SEM-UBC COL-25378) reported this species of beetles, which has not been seen since."
"Beetles (Coleoptera)","Coleoptera","Confirmed record","Phellopsis porcata","Geoffrey G.E. Scudder","Aislyn King","SEM","SEM-UBC COL-31239"," (SEM, SEM-UBC COL-31239)","1973-05-21","2022-08-23",NA,"133534847","https://www.inaturalist.org/observations/133534847","In 1973, Geoffrey G.E. Scudder (SEM, SEM-UBC COL-31239) reported this species of beetles, which was later confirmed by Aislyn King in 2022."
"Beetles (Coleoptera)","Coleoptera","New record","Pseudips mexicanus",NA,"Chris Ratzlaff",NA,NA,"",NA,"2024-06-17",2024,"243269491","https://www.inaturalist.org/observations/243269491","In 2024, Chris Ratzlaff reported this species of beetles as new for Galiano Island."
"Butterflies & moths (Lepidoptera)","Lepidoptera","Remaining historical report","Euchlaena johnsonaria","unknown",NA,"RBCM","ENT991-127781"," (RBCM, ENT991-127781)","1930-07-30",NA,NA,NA,NA,"In 1930, unknown (RBCM, ENT991-127781) reported this species of butterflies & moths, which has not been seen since."
"Butterflies & moths (Lepidoptera)","Lepidoptera","Confirmed record","Idaea dimidiata","Jon Shepard & Sigrid Shepard","Kevin Toomer","RBCM","ENT996-004280"," (RBCM, ENT996-004280)","1995-07-19","2021-07-12",NA,"86761116","https://www.inaturalist.org/observations/86761116","In 1995, Jon Shepard & Sigrid Shepard (RBCM, ENT996-004280) reported this species of butterflies & moths, which was later confirmed by Kevin Toomer in 2021."
"Butterflies & moths (Lepidoptera)","Lepidoptera","New record","Xylomoia indirecta",NA,"Kevin Toomer",NA,NA,"",NA,"2024-08-11",2024,"235121013","https://www.inaturalist.org/observations/235121013","In 2024, Kevin Toomer reported this species of butterflies & moths as new for Galiano Island."
"Caddisflies (Trichoptera)","Trichoptera","Remaining historical report","Limnephilus nogus","Geoffrey G.E. Scudder",NA,"SEM","SEM-UBC TRI-0247"," (SEM, SEM-UBC TRI-0247)","1987-04-19",NA,NA,NA,NA,"In 1987, Geoffrey G.E. Scudder (SEM, SEM-UBC TRI-0247) reported this species of caddisflies, which has not been seen since."
"Cockroaches & termites (Blattodea)","Blattodea","Confirmed record","Zootermopsis angusticollis","Geoffrey G.E. Scudder","Andrew Simon","SEM","SEM-UBC ISO-0042"," (SEM, SEM-UBC ISO-0042)","1975-09-14","2016-08-13",NA,"3882082","https://www.inaturalist.org/observations/3882082","In 1975, Geoffrey G.E. Scudder (SEM, SEM-UBC ISO-0042) reported this species of cockroaches & termites, which was later confirmed by Andrew Simon in 2016."
"Dragonflies & damselflies (Odonata)","Odonata","Remaining historical report","Aeshna eremita","Gord Hutchings",NA,"RBCM","ENT011-001599"," (RBCM, ENT011-001599)","1996-07-26",NA,NA,NA,NA,"In 1996, Gord Hutchings (RBCM, ENT011-001599) reported this species of dragonflies & damselflies, which has not been seen since."
