"Order","Order_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link"
"Adder's-tongue (Ophioglossales)","Ophioglossales","Remaining historical report","Sceptridium multifidum","Harvey Janszen",NA,"1979-06-08",NA,NA,"78990","https://www.inaturalist.org/observations/78990"
"Asparagus & orchids (Asparagales)","Asparagales","Confirmed record","Platanthera elegans","Harvey Janszen","Roanan DeMeyer","2001-08-26","2022-07-16",NA,"126694632","https://www.inaturalist.org/observations/126694632"
"Beech & oak (Fagales)","Fagales","Confirmed record","Quercus garryana var. garryana","Angela Wood","T. Abe Lloyd","1975-05-31","2011-12-22",NA,"38191914","https://www.inaturalist.org/observations/38191914"
"Bittersweet (Celastrales)","Celastrales","Confirmed record","Paxistima myrsinites","Harvey Janszen","Andrew Simon","2001-08-26","2015-02-15",NA,"2561669","https://www.inaturalist.org/observations/2561669"
"Borage (Boraginales)","Boraginales","Remaining historical report","Plagiobothrys tenellus","Harvey Janszen",NA,"1980-04-11",NA,NA,"58066","https://www.inaturalist.org/observations/58066"
"Borage (Boraginales)","Boraginales","Confirmed record","Myosotis sylvatica","Angela Wood","Andrew Simon","1975-05-14","2017-04-09",NA,"5635307","https://www.inaturalist.org/observations/5635307"
"Buttercups (Ranunculales)","Ranunculales","Remaining historical report","Fumaria officinalis","Terry Taylor",NA,"2012-04-21",NA,NA,"53785","https://www.inaturalist.org/observations/53785"
"Buttercups (Ranunculales)","Ranunculales","Confirmed record","Ranunculus flammula","Harvey Janszen","Lauren Magner","1979-06-08","2015-06-05",NA,"2563645","https://www.inaturalist.org/observations/2563645"
"Carrot & ginseng (Apiales)","Apiales","Remaining historical report","Angelica genuflexa","Harvey Janszen",NA,"2001-08-26",NA,NA,"75450","https://www.inaturalist.org/observations/75450"
"Carrot & ginseng (Apiales)","Apiales","Confirmed record","Lomatium utriculatum","Harvey Janszen","Andrew Simon","2001-08-26","2015-03-04",NA,"2566333","https://www.inaturalist.org/observations/2566333"
"Clubmoss (Lycopodiales)","Lycopodiales","Remaining historical report","Lycopodium clavatum","Harvey Janszen",NA,"2001-08-26",NA,NA,"77914","https://www.inaturalist.org/observations/77914"
