"Family","Family_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link"
"Adder's-tongue family (Ophioglossaceae)","Ophioglossaceae","Remaining historical report","Sceptridium multifidum","Harvey Janszen",NA,"1979-06-08",NA,NA,"78990","https://www.inaturalist.org/observations/78990"
"Amaranth family (Amaranthaceae)","Amaranthaceae","Remaining historical report","Salicornia depressa","Andy Lamb & Donna Gibbs",NA,"2006-06-30",NA,NA,"78930","https://www.inaturalist.org/observations/78930"
"Amaranth family (Amaranthaceae)","Amaranthaceae","Confirmed record","Amaranthus powellii","Harvey Janszen","Andrew Simon","1905-06-20","2016-07-31",NA,"3786981","https://www.inaturalist.org/observations/3786981"
"Amaryllis family (Amaryllidaceae)","Amaryllidaceae","Confirmed record","Narcissus cf. pseudonarcissus","Terry Taylor","Andrew Simon","2012-04-21","2015-02-22",NA,"2566214","https://www.inaturalist.org/observations/2566214"
"Arrow-grass family (Juncaginaceae)","Juncaginaceae","Remaining historical report","Triglochin concinna var. concinna","Harvey Janszen",NA,"2001-08-26",NA,NA,"81439","https://www.inaturalist.org/observations/81439"
"Arrow-grass family (Juncaginaceae)","Juncaginaceae","Confirmed record","Triglochin maritima","Harvey Janszen","Andrew Simon","2001-08-26","2016-05-10",NA,"3310652","https://www.inaturalist.org/observations/3310652"
"Arum family (Araceae)","Araceae","Confirmed record","Wolffia columbiana","Frank Lomer","Alexander J. Wright","2014-05-14","2017-05-27",NA,"6411344","https://www.inaturalist.org/observations/6411344"
"Asparagus family (Asparagaceae)","Asparagaceae","Confirmed record","Maianthemum dilatatum","Harvey Janszen","Andrew Simon, Quentin Cronk, Diana Percy, Carmen Lea, Jessica Duncan & Harley Gordon","2001-08-26","2019-05-04",NA,"24653224","https://www.inaturalist.org/observations/24653224"
"Balsam family (Balsaminaceae)","Balsaminaceae","Remaining historical report","Impatiens glandulifera","P. F. Zika",NA,"2004-08-22",NA,NA,"47892","https://www.inaturalist.org/observations/47892"
"Barberry family (Berberidaceae)","Berberidaceae","Confirmed record","Berberis aquifolium","Harvey Janszen","Andrew Simon","2001-08-26","2015-02-22",NA,"2566238","https://www.inaturalist.org/observations/2566238"
"Beech family (Fagaceae)","Fagaceae","Confirmed record","Quercus garryana var. garryana","Angela Wood","T. Abe Lloyd","1975-05-31","2011-12-22",NA,"38191914","https://www.inaturalist.org/observations/38191914"
"Bellflower family (Campanulaceae)","Campanulaceae","Remaining historical report","Campanula rotundifolia","Harvey Janszen",NA,"2001-08-26",NA,NA,"984576","https://www.inaturalist.org/observations/984576"
"Bellflower family (Campanulaceae)","Campanulaceae","Confirmed record","Campanula scouleri","Harvey Janszen","Lauren Magner","2001-08-26","2016-05-14",NA,"3296703","https://www.inaturalist.org/observations/3296703"
"Birch family (Betulaceae)","Betulaceae","Confirmed record","Betula papyrifera","Harvey Janszen","Andrew Simon","2001-08-26","2021-07-09",NA,"86360289","https://www.inaturalist.org/observations/86360289"
"Bittersweet family (Celastraceae)","Celastraceae","Confirmed record","Paxistima myrsinites","Harvey Janszen","Andrew Simon","2001-08-26","2015-02-15",NA,"2561669","https://www.inaturalist.org/observations/2561669"
"Bladder-fern family (Cystopteridaceae)","Cystopteridaceae","Confirmed record","Cystopteris fragilis","Harvey Janszen, Jenifer Penny & Charlotte Norris","Andrew Simon","1996-05-22","2017-03-30",NA,"5516498","https://www.inaturalist.org/observations/5516498"
"Bladderwort family (Lentibulariaceae)","Lentibulariaceae","Remaining historical report","Utricularia macrorhiza","Harvey Janszen",NA,"2001-08-26",NA,NA,"79465","https://www.inaturalist.org/observations/79465"
"Borage family (Boraginaceae)","Boraginaceae","Remaining historical report","Symphytum × uplandicum","Terry Taylor",NA,"2012-04-21",NA,NA,"181924","https://www.inaturalist.org/observations/181924"
"Borage family (Boraginaceae)","Boraginaceae","Confirmed record","Nemophila parviflora","William J. Crins","Andrew Simon","1986-08-17","2015-03-04",NA,"2566455","https://www.inaturalist.org/observations/2566455"
"Bracken family (Dennstaedtiaceae)","Dennstaedtiaceae","Confirmed record","Pteridium aquilinum ssp. pubescens","Harvey Janszen","Lauren Magner","1980-04-12","2014-11-30",NA,"2648027","https://www.inaturalist.org/observations/2648027"
"Brake-fern family (Pteridaceae)","Pteridaceae","Confirmed record","Pentagramma triangularis ssp. triangularis","J. A. Calder","Lauren Magner","1961-05-08","2015-03-13",NA,"2589088","https://www.inaturalist.org/observations/2589088"
"Broomrape family (Orobanchaceae)","Orobanchaceae","Remaining historical report","Aphyllon californicum ssp. californicum","Harvey Janszen",NA,"2001-08-26",NA,NA,"802465","https://www.inaturalist.org/observations/802465"
"Broomrape family (Orobanchaceae)","Orobanchaceae","Confirmed record","Bellardia viscosa","Harvey Janszen","Lauren Magner","2001-08-26","2015-06-24",NA,"2564158","https://www.inaturalist.org/observations/2564158"
"Buckthorn family (Rhamnaceae)","Rhamnaceae","Remaining historical report","Ceanothus sanguineus","Hans Roemer",NA,"1995-05-11",NA,NA,"76197","https://www.inaturalist.org/observations/76197"
"Buckthorn family (Rhamnaceae)","Rhamnaceae","Confirmed record","Frangula purshiana","Hans Roemer","Andrew Simon","1980-03-29","2016-07-18",NA,"3701040","https://www.inaturalist.org/observations/3701040"
"Bunchflower family (Melanthiaceae)","Melanthiaceae","Confirmed record","Toxicoscordion venenosum","Harvey Janszen","Corinne Risler","2001-08-26","2014-05-16",NA,"52441872","https://www.inaturalist.org/observations/52441872"
"Buttercup family (Ranunculaceae)","Ranunculaceae","Remaining historical report","Actaea rubra","Harvey Janszen",NA,"1981-07-16",NA,NA,"49870","https://www.inaturalist.org/observations/49870"
"Buttercup family (Ranunculaceae)","Ranunculaceae","Confirmed record","Aquilegia formosa","Harvey Janszen","Andrew Simon","1979-06-08","2020-04-24",NA,"3028222","https://www.inaturalist.org/observations/3028222"
"Carrot family (Apiaceae)","Apiaceae","Remaining historical report","Sanicula bipinnatifida","Hans Roemer",NA,"1993-04-26",NA,NA,"56840","https://www.inaturalist.org/observations/56840"
