"Family","Family_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link"
"Carrot family (Apiaceae)","Apiaceae","Confirmed record","Osmorhiza berteroi","William J. Crins","Andrew Simon","1986-08-16","2016-05-03",NA,"3093492","https://www.inaturalist.org/observations/3093492"
"Cattail family (Typhaceae)","Typhaceae","Remaining historical report","Sparganium natans","Hans Roemer",NA,"2000-06-12",NA,NA,"79162","https://www.inaturalist.org/observations/79162"
"Cattail family (Typhaceae)","Typhaceae","Confirmed record","Typha latifolia","Hans Roemer","Andrew Simon","2000-06-12","2015-02-22",NA,"2566297","https://www.inaturalist.org/observations/2566297"
"Clubmoss family (Lycopodiaceae)","Lycopodiaceae","Remaining historical report","Lycopodium clavatum","Harvey Janszen",NA,"2001-08-26",NA,NA,"77914","https://www.inaturalist.org/observations/77914"
"Currant family (Grossulariaceae)","Grossulariaceae","Confirmed record","Ribes bracteosum","Harvey Janszen","Felix Erhard","2001-08-26","2013-04-17",NA,"2628134","https://www.inaturalist.org/observations/2628134"
"Cypress family (Cupressaceae)","Cupressaceae","Confirmed record","Thuja plicata","Hans Roemer","Alison, Laura and Malcolm Colwell","2000-06-12","2012-06-15",NA,"2586537","https://www.inaturalist.org/observations/2586537"
"Dogbane family (Apocynaceae)","Apocynaceae","Remaining historical report","Apocynum androsaemifolium","Harvey Janszen",NA,"1984-06-02",NA,NA,"47359","https://www.inaturalist.org/observations/47359"
"Dogbane family (Apocynaceae)","Apocynaceae","Confirmed record","Vinca major","Harvey Janszen","Andrew Simon","2001-08-26","2015-03-04",NA,"2566461","https://www.inaturalist.org/observations/2566461"
"Dogwood family (Cornaceae)","Cornaceae","Confirmed record","Cornus sericea ssp. occidentalis","Harvey Janszen","Andrew Simon","2001-08-26","2018-05-13",NA,"15412701","https://www.inaturalist.org/observations/15412701"
"Eelgrass family (Zosteraceae)","Zosteraceae","Confirmed record","Zostera marina","Andy Lamb & Donna Gibbs","Shera Street","1985-12-08","2009-07-08",NA,"2635147","https://www.inaturalist.org/observations/2635147"
"Evening-primrose family (Onagraceae)","Onagraceae","Confirmed record","Circaea alpina ssp. alpina","Harvey Janszen","Lauren Magner","2001-08-26","2015-05-04",NA,"2569342","https://www.inaturalist.org/observations/2569342"
"Figwort family (Scrophulariaceae)","Scrophulariaceae","Confirmed record","Buddleja davidii","Harvey Janszen","Lauren Magner","2001-08-26","2015-06-24",NA,"2564045","https://www.inaturalist.org/observations/2564045"
"Floating-fern family (Salviniaceae)","Salviniaceae","New record","Azolla sp.",NA,"Emma Menchions",NA,"2025-05-29",2025,"285524909","https://www.inaturalist.org/observations/285524909"
"Frog's-bit family (Hydrocharitaceae)","Hydrocharitaceae","Confirmed record","Elodea canadensis","Harvey Janszen","Andrew Simon","2001-08-26","2016-08-13",NA,"3881936","https://www.inaturalist.org/observations/3881936"
"Gentian family (Gentianaceae)","Gentianaceae","Confirmed record","Centaurium erythraea","Harvey Janszen","Lauren Magner","2001-08-26","2015-06-24",NA,"2564068","https://www.inaturalist.org/observations/2564068"
"Geranium family (Geraniaceae)","Geraniaceae","Remaining historical report","Geranium bicknellii","Harvey Janszen",NA,"2001-08-26",NA,NA,"77251","https://www.inaturalist.org/observations/77251"
"Geranium family (Geraniaceae)","Geraniaceae","Confirmed record","Erodium cicutarium","Harvey Janszen","Andrew Simon","1980-04-02","2016-03-28",NA,"2843467","https://www.inaturalist.org/observations/2843467"
"Ginseng family (Araliaceae)","Araliaceae","Confirmed record","Hedera helix","Harvey Janszen","Andrew Simon","2001-08-26","2016-08-14",NA,"3948552","https://www.inaturalist.org/observations/3948552"
"Grass family (Poaceae)","Poaceae","Remaining historical report","Puccinellia pumila","Harvey Janszen",NA,"1979-08-15",NA,NA,"78785","https://www.inaturalist.org/observations/78785"
"Grass family (Poaceae)","Poaceae","Confirmed record","Festuca occidentalis","Harvey Janszen","Andrew Simon","2001-08-26","2017-04-20",NA,"5885844","https://www.inaturalist.org/observations/5885844"
"Grass family (Poaceae)","Poaceae","New record","Calamagrostis canadensis",NA,"Andrew Simon",NA,"2024-08-12",2024,"235463302","https://www.inaturalist.org/observations/235463302"
"Hard-fern family (Blechnaceae)","Blechnaceae","Confirmed record","Struthiopteris spicant","Harvey Janszen","Lauren Magner","2001-08-26","2016-05-24",NA,"3296145","https://www.inaturalist.org/observations/3296145"
"Heath family (Ericaceae)","Ericaceae","Remaining historical report","Monotropa hypopitys","Harvey Janszen",NA,"2001-08-26",NA,NA,"59986","https://www.inaturalist.org/observations/59986"
"Heath family (Ericaceae)","Ericaceae","Confirmed record","Chimaphila umbellata ssp. umbellata","Harvey Janszen","T. Abe Lloyd","2001-08-26","2011-12-22",NA,"38191913","https://www.inaturalist.org/observations/38191913"
"Holly family (Aquifoliaceae)","Aquifoliaceae","Confirmed record","Ilex aquifolium","Harvey Janszen","Andrew Simon","2001-08-26","2015-02-22",NA,"2566288","https://www.inaturalist.org/observations/2566288"
"Honeysuckle family (Caprifoliaceae)","Caprifoliaceae","Remaining historical report","Plectritis macrocera","Harvey Janszen",NA,"2001-08-26",NA,NA,"57287","https://www.inaturalist.org/observations/57287"
"Honeysuckle family (Caprifoliaceae)","Caprifoliaceae","Confirmed record","Plectritis congesta ssp. congesta","Harvey Janszen","Chessi Miltner","2001-08-26","2016-02-11",NA,"2670598","https://www.inaturalist.org/observations/2670598"
"Hornwort family (Ceratophyllaceae)","Ceratophyllaceae","Confirmed record","Ceratophyllum echinatum","Harvey Janszen, Jenifer Penny & Charlotte Norris","Andrew Simon, Quentin Cronk, Diana Percy, Carmen Lea, Jessica Duncan & Harley Gordon","1996-05-01","2019-05-04",NA,"24653208","https://www.inaturalist.org/observations/24653208"
"Horsetail family (Equisetaceae)","Equisetaceae","Confirmed record","Equisetum hyemale ssp. affine","Harvey Janszen","Lauren Magner","1981-01-01","2015-07-02",NA,"2561787","https://www.inaturalist.org/observations/2561787"
"Hydrangea family (Hydrangeaceae)","Hydrangeaceae","Confirmed record","Philadelphus lewisii","Harvey Janszen","Adam Huggins","2001-08-26","2016-07-15",NA,"3684435","https://www.inaturalist.org/observations/3684435"
"Iris family (Iridaceae)","Iridaceae","Confirmed record","Sisyrinchium idahoense var. idahoense","Frank Lomer","Andrew Simon & Frank Lomer","2022-06-10","2022-06-12",NA,"121538450","https://www.inaturalist.org/observations/121538450"
"Knotweed family (Polygonaceae)","Polygonaceae","Remaining historical report","Fallopia convolvulus","Harvey Janszen",NA,"2001-08-26",NA,NA,"77129","https://www.inaturalist.org/observations/77129"
"Knotweed family (Polygonaceae)","Polygonaceae","Confirmed record","Polygonum fowleri","Harvey Janszen","Andrew Simon","2001-08-26","2020-08-11",NA,"56194855","https://www.inaturalist.org/observations/56194855"
"Lady-fern family (Athyriaceae)","Athyriaceae","Confirmed record","Athyrium filix-femina ssp. cyclosorum","Hans Roemer","Andrew Simon","2000-06-12","2015-04-04",NA,"2567709","https://www.inaturalist.org/observations/2567709"
"Legume family (Fabaceae)","Fabaceae","Remaining historical report","Lupinus polyphyllus var. polyphyllus","Angela Wood",NA,"1975-06-04",NA,NA,"61016","https://www.inaturalist.org/observations/61016"
"Legume family (Fabaceae)","Fabaceae","Confirmed record","Trifolium campestre","Harvey Janszen","Andrew Simon","1981-07-07","2018-06-03",NA,"13102174","https://www.inaturalist.org/observations/13102174"
"Legume family (Fabaceae)","Fabaceae","New record","Trifolium fragiferum",NA,"aanderson72",NA,"2025-05-16",2025,"281623731","https://www.inaturalist.org/observations/281623731"
"Lily family (Liliaceae)","Liliaceae","Confirmed record","Lilium columbianum","Harvey Janszen","Felix Erhard","2001-08-26","2013-06-05",NA,"2570696","https://www.inaturalist.org/observations/2570696"
"Lopseed family (Phrymaceae)","Phrymaceae","Confirmed record","Erythranthe nasuta","Bev Benedict","Andrew Simon","1993-05-19","2017-03-23",NA,"5450371","https://www.inaturalist.org/observations/5450371"
"Madder family (Rubiaceae)","Rubiaceae","Remaining historical report","Galium mollugo","Harvey Janszen",NA,"2001-08-26",NA,NA,"77206","https://www.inaturalist.org/observations/77206"
"Madder family (Rubiaceae)","Rubiaceae","Confirmed record","Galium trifidum","Hans Roemer","Andrew Simon","2000-06-12","2016-08-13",NA,"3881959","https://www.inaturalist.org/observations/3881959"
"Mallow family (Malvaceae)","Malvaceae","Remaining historical report","Malva neglecta","Harvey Janszen",NA,"2001-08-26",NA,NA,"77952","https://www.inaturalist.org/observations/77952"
"Mallow family (Malvaceae)","Malvaceae","Confirmed record","Malva moschata","Harvey Janszen","Andrew Simon","2001-08-26","2018-07-12",NA,"14300222","https://www.inaturalist.org/observations/14300222"
"Mezereum family (Thymelaeaceae)","Thymelaeaceae","Confirmed record","Daphne laureola","Gerald Straley & K. Nichols","Andrew Simon","1989-04-06","2016-01-20",NA,"2602959","https://www.inaturalist.org/observations/2602959"
"Miner's-lettuce family (Montiaceae)","Montiaceae","Confirmed record","Claytonia perfoliata","Wilfred B. Schofield","Felix Erhard","1974-04-21","2013-04-08",NA,"2583372","https://www.inaturalist.org/observations/2583372"
"Mint family (Lamiaceae)","Lamiaceae","Remaining historical report","Mentha suaveolens","Harvey Janszen",NA,"2001-08-26",NA,NA,"77993","https://www.inaturalist.org/observations/77993"
"Mint family (Lamiaceae)","Lamiaceae","Confirmed record","Mentha canadensis","Harvey Janszen","Lauren Magner","1980-04-12","2015-05-04",NA,"2569386","https://www.inaturalist.org/observations/2569386"
"Morning glory family (Convolvulaceae)","Convolvulaceae","Confirmed record","Calystegia sepium ssp. sepium","Harvey Janszen","Andrew Simon","2001-08-26","2016-06-02",NA,"3382803","https://www.inaturalist.org/observations/3382803"
"Mustard family (Brassicaceae)","Brassicaceae","Remaining historical report","Erysimum cheiranthoides","Harvey Janszen",NA,"1981-07-07",NA,NA,"77068","https://www.inaturalist.org/observations/77068"
"Mustard family (Brassicaceae)","Brassicaceae","Confirmed record","Draba verna","Gerald B. Straley","Andrew Simon","1989-04-06","2016-02-12",NA,"2677436","https://www.inaturalist.org/observations/2677436"
"Mustard family (Brassicaceae)","Brassicaceae","New record","Aubrieta deltoidea",NA,"David Clements",NA,"2025-05-06",2025,"279370109","https://www.inaturalist.org/observations/279370109"
"Nightshade family (Solanaceae)","Solanaceae","Remaining historical report","Solanum sarrachoides","Harvey Janszen",NA,"2001-08-26",NA,NA,"120519","https://www.inaturalist.org/observations/120519"
"Nightshade family (Solanaceae)","Solanaceae","Confirmed record","Datura stramonium","Harvey Janszen","Colleen Doty","2001-08-26","2016-10-24",NA,"4430121","https://www.inaturalist.org/observations/4430121"
"Oleaster family (Elaeagnaceae)","Elaeagnaceae","Confirmed record","Shepherdia canadensis","Gerald B. Straley","T. Abe Lloyd","1989-04-06","2010-08-14",NA,"37239711","https://www.inaturalist.org/observations/37239711"
"Orchid family (Orchidaceae)","Orchidaceae","Confirmed record","Corallorhiza maculata var. occidentalis","Harvey Janszen","Felix Erhard","2001-08-26","2013-05-17",NA,"2604239","https://www.inaturalist.org/observations/2604239"
"Phlox family (Polemoniaceae)","Polemoniaceae","Confirmed record","Microsteris gracilis","Harvey Janszen","Andrew Simon","1982-05-10","2018-05-11",NA,"12373997","https://www.inaturalist.org/observations/12373997"
"Pine family (Pinaceae)","Pinaceae","Confirmed record","Abies grandis","Harvey Janszen","Alison, Laura and Malcolm Colwell","2001-08-26","2012-06-15",NA,"2586528","https://www.inaturalist.org/observations/2586528"
"Pink family (Caryophyllaceae)","Caryophyllaceae","Remaining historical report","Silene latifolia","Angela Wood",NA,"1975-06-28",NA,NA,"79109","https://www.inaturalist.org/observations/79109"
"Pink family (Caryophyllaceae)","Caryophyllaceae","Confirmed record","Cerastium fontanum","Harvey Janszen","Lauren Magner","2001-08-26","2015-06-05",NA,"2563618","https://www.inaturalist.org/observations/2563618"
"Pink family (Caryophyllaceae)","Caryophyllaceae","New record","Silene dioica",NA,"Madeline Hart",NA,"2025-05-19",2025,"284011807","https://www.inaturalist.org/observations/284011807"
"Plantain family (Plantaginaceae)","Plantaginaceae","Remaining historical report","Nuttallanthus texanus","Harvey Janszen",NA,"2001-08-26",NA,NA,"78235","https://www.inaturalist.org/observations/78235"
"Plantain family (Plantaginaceae)","Plantaginaceae","Confirmed record","Veronica scutellata","Hans Roemer","Lauren Magner","2000-06-12","2015-06-24",NA,"2564099","https://www.inaturalist.org/observations/2564099"
"Polypody family (Polypodiaceae)","Polypodiaceae","Confirmed record","Polypodium glycyrrhiza","J. A. Calder","Lauren Magner","1961-05-08","2015-03-13",NA,"2589280","https://www.inaturalist.org/observations/2589280"
"Pondweed family (Potamogetonaceae)","Potamogetonaceae","Remaining historical report","Potamogeton pusillus","Hans Roemer",NA,"2000-06-12",NA,NA,"78714","https://www.inaturalist.org/observations/78714"
"Pondweed family (Potamogetonaceae)","Potamogetonaceae","Confirmed record","Potamogeton berchtoldii","Harvey Janszen","Andrew Simon","2001-08-26","2022-08-04",NA,"129778462","https://www.inaturalist.org/observations/129778462"
"Poppy family (Papaveraceae)","Papaveraceae","Remaining historical report","Fumaria officinalis","Terry Taylor",NA,"2012-04-21",NA,NA,"53785","https://www.inaturalist.org/observations/53785"
"Poppy family (Papaveraceae)","Papaveraceae","Confirmed record","Papaver somniferum","Harvey Janszen","Andrew Simon","2001-08-26","2018-06-11",NA,"14282411","https://www.inaturalist.org/observations/14282411"
"Primrose family (Primulaceae)","Primulaceae","Remaining historical report","Lysimachia arvensis","Harvey Janszen",NA,"2001-08-26",NA,NA,"791928","https://www.inaturalist.org/observations/791928"
"Primrose family (Primulaceae)","Primulaceae","Confirmed record","Lysimachia europaea ssp. arctica","Hans Roemer","Lauren Magner","2000-06-12","2016-05-24",NA,"3296137","https://www.inaturalist.org/observations/3296137"
"Primrose family (Primulaceae)","Primulaceae","New record","Lysimachia nummularia",NA,"Andrew Simon",NA,"2025-05-29",2025,"285513561","https://www.inaturalist.org/observations/285513561"
"Rose family (Rosaceae)","Rosaceae","Remaining historical report","Potentilla norvegica","Harvey Janszen",NA,"2001-08-26",NA,NA,"55732","https://www.inaturalist.org/observations/55732"
"Rose family (Rosaceae)","Rosaceae","Confirmed record","Malus fusca","Harvey Janszen","Adam Huggins","2001-08-26","2016-07-30",NA,"3773338","https://www.inaturalist.org/observations/3773338"
"Rose family (Rosaceae)","Rosaceae","New record","Prunus lusitanica",NA,"Liam Ragan",NA,"2024-04-27",2024,"210511398","https://www.inaturalist.org/observations/210511398"
"Rush family (Juncaceae)","Juncaceae","Remaining historical report","Luzula parviflora","Terry Taylor",NA,"2012-04-21",NA,NA,"77897","https://www.inaturalist.org/observations/77897"
"Rush family (Juncaceae)","Juncaceae","Confirmed record","Juncus effusus ssp. effusus","Harvey Janszen","Andrew Simon","2001-08-26","2019-07-07",NA,"28440101","https://www.inaturalist.org/observations/28440101"
"Saxifrage family (Saxifragaceae)","Saxifragaceae","Confirmed record","Lithophragma glabrum","Harvey Janszen","Ryan Batten and Andrew Simon","2001-08-26","2022-05-11",NA,"138097302","https://www.inaturalist.org/observations/138097302"
"Sedge family (Cyperaceae)","Cyperaceae","Remaining historical report","Carex flava","Harvey Janszen",NA,"2001-08-26",NA,NA,"1264456","https://www.inaturalist.org/observations/1264456"
"Sedge family (Cyperaceae)","Cyperaceae","Confirmed record","Eriophorum chamissonis","Hans Roemer","Lauren Magner","2000-06-12","2016-05-24",NA,"3296238","https://www.inaturalist.org/observations/3296238"
"Soapberry family (Sapindaceae)","Sapindaceae","Confirmed record","Acer glabrum var. douglasii","Harvey Janszen","Adam Huggins","2001-08-26","2016-08-10",NA,"3852586","https://www.inaturalist.org/observations/3852586"
"Spikemoss family (Selaginellaceae)","Selaginellaceae","Confirmed record","Selaginella wallacei","William J. Crins","Andrew Simon","1986-08-17","2015-03-04",NA,"2566424","https://www.inaturalist.org/observations/2566424"
"Spurge family (Euphorbiaceae)","Euphorbiaceae","Confirmed record","Euphorbia peplus","Harvey Janszen","Andrew Simon","2001-08-26","2016-06-02",NA,"3382906","https://www.inaturalist.org/observations/3382906"
"St. John's-wort family (Hypericaceae)","Hypericaceae","Confirmed record","Hypericum calycinum","Harvey Janszen","Andrew Simon","2001-08-26","2016-06-02",NA,"3382761","https://www.inaturalist.org/observations/3382761"
"Stonecrop family (Crassulaceae)","Crassulaceae","Remaining historical report","Petrosedum rupestre","Frank Lomer",NA,"2022-06-10",NA,NA,"734805","https://www.inaturalist.org/observations/734805"
"Stonecrop family (Crassulaceae)","Crassulaceae","Confirmed record","Sedum spathulifolium","Harvey Janszen","Brian Starzomski","2001-08-26","2012-04-13",NA,"22396983","https://www.inaturalist.org/observations/22396983"
"Sumac family (Anacardiaceae)","Anacardiaceae","Confirmed record","Toxicodendron diversilobum","Harvey Janszen","Adam Huggins","2001-08-26","2018-09-02",NA,"16152487","https://www.inaturalist.org/observations/16152487"
"Sundew family (Droseraceae)","Droseraceae","Confirmed record","Drosera rotundifolia","Hans Roemer","Andrew Simon","2000-06-12","2016-04-01",NA,"2865591","https://www.inaturalist.org/observations/2865591"
"Sunflower family (Asteraceae)","Asteraceae","Remaining historical report","Taraxacum erythrospermum agg.","Harvey Janszen",NA,"2001-08-26",NA,NA,"79317","https://www.inaturalist.org/observations/79317"
"Sunflower family (Asteraceae)","Asteraceae","Confirmed record","Matricaria discoidea","Harvey Janszen","Lauren Magner","2001-08-26","2015-06-24",NA,"2564085","https://www.inaturalist.org/observations/2564085"
"Viburnum family (Viburnaceae)","Viburnaceae","Confirmed record","Sambucus racemosa var. arborescens","Harvey Janszen","Andrew Simon","2001-08-26","2015-04-04",NA,"2567739","https://www.inaturalist.org/observations/2567739"
"Violet family (Violaceae)","Violaceae","Remaining historical report","Viola adunca",NA,NA,"2010-05-22",NA,NA,"53328","https://www.inaturalist.org/observations/53328"
"Violet family (Violaceae)","Violaceae","Confirmed record","Viola odorata","Gerald B. Straley","Andrew Simon","1989-04-06","2020-03-21",NA,"40448514","https://www.inaturalist.org/observations/40448514"
"Water-lily family (Nymphaeaceae)","Nymphaeaceae","Confirmed record","Nuphar polysepala","Hans Roemer","Karolle Wall","2000-06-12","2015-08-20",NA,"97172676","https://www.inaturalist.org/observations/97172676"
"Water-milfoil family (Haloragaceae)","Haloragaceae","Remaining historical report","Myriophyllum spicatum","Harvey Janszen",NA,"1979-08-15",NA,NA,"78157","https://www.inaturalist.org/observations/78157"
"Water-shield family (Cabombaceae)","Cabombaceae","New record","Brasenia schreberi",NA,"Sofia Silverman",NA,"2025-08-13",2025,"306312377","https://www.inaturalist.org/observations/306312377"
"Willow family (Salicaceae)","Salicaceae","Remaining historical report","Salix prolixa","Christopher Clement",NA,"1978-01-01",NA,NA,"78952","https://www.inaturalist.org/observations/78952"
"Willow family (Salicaceae)","Salicaceae","Confirmed record","Salix scouleriana","Harvey Janszen","Lauren Magner","1980-04-12","2015-02-12",NA,"2565085","https://www.inaturalist.org/observations/2565085"
"Wood-fern family (Dryopteridaceae)","Dryopteridaceae","Confirmed record","Dryopteris expansa","Harvey Janszen","Alison, Laura and Malcolm Colwell","2001-08-26","2016-05-29",NA,"3336189","https://www.inaturalist.org/observations/3336189"
"Yew family (Taxaceae)","Taxaceae","Confirmed record","Taxus brevifolia","Kent Brothers","T. Abe Lloyd",NA,"2011-12-22",NA,"38191923","https://www.inaturalist.org/observations/38191923"
