Observer_std,n_total_taxa,n_confirmed_taxa,n_new_taxa
Karolle Wall,88,75,13
Andrew Simon,54,30,24
Peter Luckham,43,43,0
"Dave ""Zeuss"" Cochrane",43,33,10
Jackson W.F. Chu,24,24,0
Karin Fletcher,21,20,1
Isabelle M. Côté,13,12,1
Neil McDaniel,11,11,0
Tyrel Froese,5,3,2
Emily Adamczyk,4,2,2
Norah Brown,4,2,2
Kris Krüg,3,3,0
Shera Street,3,3,0
Chessi Miltner,3,2,1
Lauren Magner,3,2,1
Kristian Sigvardsen,3,1,2
Liam Ragan,3,1,2
Adam Huggins,2,2,0
Jennifer Grant,2,2,0
Karen Steve Smith,2,2,0
Tyson Ehlers,2,2,0
Dave Metzger,2,1,1
Scott Gilmore,2,1,1
catiemac,2,1,1
Ian Guthrie,2,0,2
John D Reynolds,2,0,2
Kendall McLaughlin,2,0,2
Ayla Malcolm,1,1,0
Bridget Spencer,1,1,0
Christian Adler,1,1,0
Daniella LoScerbo,1,1,0
David Metzger,1,1,0
Elsa Hunter,1,1,0
Joan Septembre,1,1,0
Kiara Ganon,1,1,0
Larry Taylor,1,1,0
Lena Dietz Chiasson,1,1,0
Nancy Woodham,1,1,0
Natalie Kennedy,1,1,0
Natassa Uehara,1,1,0
Paz Touchburn,1,1,0
Penelope Bridge,1,1,0
Quinn Galbraith-Robertson,1,1,0
Steve Ansell,1,1,0
Tom Appleby,1,1,0
alyanalalani,1,1,0
awworld,1,1,0
jroderick,1,1,0
pacificwhitesideddolphin,1,1,0
smrhaddon,1,1,0
Alex Niese,1,0,1
Catiemac,1,0,1
Christina Robinson,1,0,1
Darcy Kehler,1,0,1
KGW,1,0,1
Kathleen Buckley,1,0,1
Lillian Rose Crossman,1,0,1
Rebecca Reader-Lee,1,0,1
Shayne Poleyko,1,0,1
Sofia Silverman,1,0,1
linddealy,1,0,1
ridingbio,1,0,1
