Family,Family_Latin,total_taxa,remaining_historical,confirmed_taxa,new_taxa,resolved_taxa,recent_confirmed,recent_new,recent_total,resolved_share_pct,unresolved_share_pct
Grass family (Poaceae),Poaceae,95,19,60,16,76,0,1,1,80,20
Sunflower family (Asteraceae),Asteraceae,74,5,49,20,69,0,0,0,93.2,6.8
Legume family (Fabaceae),Fabaceae,47,7,33,7,40,0,1,1,85.1,14.9
Rose family (Rosaceae),Rosaceae,42,4,27,11,38,0,1,1,90.5,9.5
Sedge family (Cyperaceae),Cyperaceae,38,6,22,10,32,0,0,0,84.2,15.8
Mustard family (Brassicaceae),Brassicaceae,36,6,21,9,30,0,1,1,83.3,16.7
Pink family (Caryophyllaceae),Caryophyllaceae,30,5,17,8,25,0,1,1,83.3,16.7
Carrot family (Apiaceae),Apiaceae,25,3,15,7,22,0,0,0,88,12
Plantain family (Plantaginaceae),Plantaginaceae,24,1,16,7,23,0,0,0,95.8,4.2
Heath family (Ericaceae),Ericaceae,22,4,14,4,18,0,0,0,81.8,18.2
Rush family (Juncaceae),Juncaceae,21,4,13,4,17,0,0,0,81,19
Mint family (Lamiaceae),Lamiaceae,16,1,7,8,15,0,0,0,93.8,6.2
Buttercup family (Ranunculaceae),Ranunculaceae,15,2,10,3,13,0,0,0,86.7,13.3
Orchid family (Orchidaceae),Orchidaceae,15,0,9,6,15,0,0,0,100,0
Borage family (Boraginaceae),Boraginaceae,14,3,11,0,11,0,0,0,78.6,21.4
Evening-primrose family (Onagraceae),Onagraceae,14,0,8,6,14,0,0,0,100,0
Knotweed family (Polygonaceae),Polygonaceae,14,1,10,3,13,0,0,0,92.9,7.1
Asparagus family (Asparagaceae),Asparagaceae,12,0,7,5,12,0,0,0,100,0
Honeysuckle family (Caprifoliaceae),Caprifoliaceae,11,1,6,4,10,0,0,0,90.9,9.1
Miner's-lettuce family (Montiaceae),Montiaceae,11,0,9,2,11,0,0,0,100,0
Broomrape family (Orobanchaceae),Orobanchaceae,10,2,6,2,8,0,0,0,80,20
Primrose family (Primulaceae),Primulaceae,10,3,4,3,7,0,1,1,70,30
Saxifrage family (Saxifragaceae),Saxifragaceae,10,0,7,3,10,0,0,0,100,0
Amaryllis family (Amaryllidaceae),Amaryllidaceae,9,0,4,5,9,0,0,0,100,0
Geranium family (Geraniaceae),Geraniaceae,8,2,5,1,6,0,0,0,75,25
Stonecrop family (Crassulaceae),Crassulaceae,8,2,3,3,6,0,0,0,75,25
Willow family (Salicaceae),Salicaceae,8,1,5,2,7,0,0,0,87.5,12.5
Amaranth family (Amaranthaceae),Amaranthaceae,7,1,4,2,6,0,0,0,85.7,14.3
Pine family (Pinaceae),Pinaceae,7,0,5,2,7,0,0,0,100,0
Arum family (Araceae),Araceae,6,0,5,1,6,0,0,0,100,0
Currant family (Grossulariaceae),Grossulariaceae,6,0,4,2,6,0,0,0,100,0
Lopseed family (Phrymaceae),Phrymaceae,6,0,5,1,6,0,0,0,100,0
Poppy family (Papaveraceae),Papaveraceae,6,1,4,1,5,0,0,0,83.3,16.7
Cattail family (Typhaceae),Typhaceae,5,1,3,1,4,0,0,0,80,20
Madder family (Rubiaceae),Rubiaceae,5,1,4,0,4,0,0,0,80,20
Nightshade family (Solanaceae),Solanaceae,5,1,2,2,4,0,0,0,80,20
Pondweed family (Potamogetonaceae),Potamogetonaceae,5,2,2,1,3,0,0,0,60,40
Violet family (Violaceae),Violaceae,5,1,4,0,4,0,0,0,80,20
Bellflower family (Campanulaceae),Campanulaceae,4,2,1,1,2,0,0,0,50,50
Lily family (Liliaceae),Liliaceae,4,0,3,1,4,0,0,0,100,0
Morning glory family (Convolvulaceae),Convolvulaceae,4,0,2,2,4,0,0,0,100,0
