"Family","Family_Latin","Knowledge_category","Taxon","Collector_Source","Observer","Historical_date","First_observed","New_record_year","iNat_ID","iNat_link"
"Auks, murres & puffins (Alcidae)","Alcidae","Confirmed record","Cerorhinca monocerata","Galiano Naturalist","Michael Hoebel","2016","2017-04-22",NA,"19548007","https://www.inaturalist.org/observations/19548007"
"Blackbirds, orioles & meadowlarks (Icteridae)","Icteridae","Remaining historical report","Xanthocephalus xanthocephalus","Galiano Naturalist",NA,"2016",NA,NA,NA,NA
"Blackbirds, orioles & meadowlarks (Icteridae)","Icteridae","Confirmed record","Molothrus ater","Galiano Naturalist","Michael Hoebel","2016","2015-04-16",NA,"4046911","https://www.inaturalist.org/observations/4046911"
"Cardinals, grosbeaks & buntings (Cardinalidae)","Cardinalidae","Remaining historical report","Passerina amoena","Galiano Naturalist",NA,"2016",NA,NA,NA,NA
"Cardinals, grosbeaks & buntings (Cardinalidae)","Cardinalidae","Confirmed record","Pheucticus melanocephalus","Galiano Naturalist","Sarah Tweedale","2016","2015-05-14",NA,"4039998","https://www.inaturalist.org/observations/4039998"
"Chickadees & tits (Paridae)","Paridae","Confirmed record","Poecile rufescens","Galiano Naturalist","lesfreck","2016","2011-07-25",NA,"86518608","https://www.inaturalist.org/observations/86518608"
"Cormorants (Phalacrocoracidae)","Phalacrocoracidae","Confirmed record","Urile penicillatus","Galiano Naturalist","Michael Hoebel","2016","2012-05-03",NA,"4046927","https://www.inaturalist.org/observations/4046927"
"Crows, ravens & jays (Corvidae)","Corvidae","Confirmed record","Corvus brachyrhynchos caurinus","Galiano Naturalist","lesfreck","2016","2012-07-23",NA,"86523788","https://www.inaturalist.org/observations/86523788"
"Dippers (Cinclidae)","Cinclidae","Confirmed record","Cinclus mexicanus","Galiano Naturalist","Christopher King","2016","2017-02-01",NA,"5815600","https://www.inaturalist.org/observations/5815600"
"Ducks, geese & swans (Anatidae)","Anatidae","Remaining historical report","Branta hutchinsii","Nancy Tamblyn",NA,"2017-05-07",NA,NA,NA,NA
"Ducks, geese & swans (Anatidae)","Anatidae","Confirmed record","Anser albifrons","Galiano Naturalist","Michael Hoebel","2016","2014-09-27",NA,"4046931","https://www.inaturalist.org/observations/4046931"
"Falcons (Falconidae)","Falconidae","Remaining historical report","Falco columbarius","Galiano Naturalist",NA,"2016",NA,NA,NA,NA
"Falcons (Falconidae)","Falconidae","Confirmed record","Falco peregrinus","Galiano Naturalist","Michael Hoebel","2016","2009-08-15",NA,"4046871","https://www.inaturalist.org/observations/4046871"
"Finches (Fringillidae)","Fringillidae","Confirmed record","Haemorhous purpureus","Galiano Naturalist","Michael Hoebel","2016","2009-04-25",NA,"4046920","https://www.inaturalist.org/observations/4046920"
"Grebes (Podicipedidae)","Podicipedidae","Remaining historical report","Aechmophorus occidentalis","Galiano Naturalist",NA,"2016",NA,NA,NA,NA
"Grebes (Podicipedidae)","Podicipedidae","Confirmed record","Podiceps grisegena","Galiano Naturalist","Liam Steele","2016","2022-09-02",NA,"135679353","https://www.inaturalist.org/observations/135679353"
"Gulls, terns & skimmers (Laridae)","Laridae","Remaining historical report","Larus occidentalis","Galiano Naturalist",NA,"2016",NA,NA,NA,NA
"Gulls, terns & skimmers (Laridae)","Laridae","Confirmed record","Chroicocephalus philadelphia","Galiano Naturalist","B. J. Stacey","2016","2012-04-19",NA,"167227","https://www.inaturalist.org/observations/167227"
"Hawks, eagles & allies (Accipitridae)","Accipitridae","Remaining historical report","Aquila chrysaetos","Galiano Naturalist",NA,"2016",NA,NA,NA,NA
"Hawks, eagles & allies (Accipitridae)","Accipitridae","Confirmed record","Buteo jamaicensis","Galiano Naturalist","Cameron Deckert","2016","2009-07-27",NA,"19139396","https://www.inaturalist.org/observations/19139396"
