Family,Family_Latin,total_taxa,remaining_historical,confirmed_taxa,new_taxa,resolved_taxa,recent_confirmed,recent_new,recent_total,resolved_share_pct,unresolved_share_pct
"Ducks, geese & swans (Anatidae)",Anatidae,29,8,21,0,21,1,0,1,72.4,27.6
New World sparrows (Passerellidae),Passerellidae,12,1,11,0,11,1,0,1,91.7,8.3
Sandpipers & allies (Scolopacidae),Scolopacidae,12,5,7,0,7,1,0,1,58.3,41.7
"Gulls, terns & skimmers (Laridae)",Laridae,11,4,6,1,7,0,0,0,63.6,36.4
Wood-warblers (Parulidae),Parulidae,9,0,9,0,9,0,0,0,100,0
"Hawks, eagles & allies (Accipitridae)",Accipitridae,7,2,5,0,5,0,0,0,71.4,28.6
Woodpeckers (Picidae),Picidae,7,1,5,1,6,0,1,1,85.7,14.3
Finches (Fringillidae),Fringillidae,6,0,6,0,6,0,0,0,100,0
Swallows & martins (Hirundinidae),Hirundinidae,6,0,6,0,6,0,0,0,100,0
Thrushes (Turdidae),Turdidae,6,0,5,1,6,0,0,0,100,0
Typical owls (Strigidae),Strigidae,6,3,3,0,3,0,0,0,50,50
Tyrant flycatchers (Tyrannidae),Tyrannidae,6,0,5,1,6,0,0,0,100,0
"Auks, murres & puffins (Alcidae)",Alcidae,5,0,5,0,5,0,0,0,100,0
"Blackbirds, orioles & meadowlarks (Icteridae)",Icteridae,5,1,4,0,4,0,0,0,80,20
Grebes (Podicipedidae),Podicipedidae,5,2,3,0,3,0,0,0,60,40
Wrens (Troglodytidae),Troglodytidae,5,0,4,1,5,0,1,1,100,0
"Cardinals, grosbeaks & buntings (Cardinalidae)",Cardinalidae,4,1,2,1,3,0,0,0,75,25
"Crows, ravens & jays (Corvidae)",Corvidae,4,0,3,1,4,0,0,0,100,0
Pigeons & doves (Columbidae),Columbidae,4,0,4,0,4,0,0,0,100,0
Cormorants (Phalacrocoracidae),Phalacrocoracidae,3,0,3,0,3,0,0,0,100,0
Falcons (Falconidae),Falconidae,3,1,2,0,2,0,0,0,66.7,33.3
Loons (Gaviidae),Gaviidae,3,1,2,0,2,0,0,0,66.7,33.3
Vireos (Vireonidae),Vireonidae,3,0,3,0,3,0,0,0,100,0
Hummingbirds (Trochilidae),Trochilidae,2,0,2,0,2,0,0,0,100,0
Kinglets (Regulidae),Regulidae,2,0,2,0,2,0,0,0,100,0
"Pheasants, grouse & allies (Phasianidae)",Phasianidae,2,1,1,0,1,0,0,0,50,50
Plovers (Charadriidae),Charadriidae,2,1,1,0,1,0,0,0,50,50
Swifts (Apodidae),Apodidae,2,2,0,0,0,0,0,0,0,100
Barn owls (Tytonidae),Tytonidae,1,0,0,1,1,0,0,0,100,0
Chickadees & tits (Paridae),Paridae,1,0,1,0,1,0,0,0,100,0
Cranes (Gruidae),Gruidae,1,0,0,1,1,0,0,0,100,0
Dippers (Cinclidae),Cinclidae,1,0,1,0,1,0,0,0,100,0
"Herons, egrets & bitterns (Ardeidae)",Ardeidae,1,0,1,0,1,0,0,0,100,0
Kingfishers (Alcedinidae),Alcedinidae,1,0,1,0,1,0,0,0,100,0
Larks (Alaudidae),Alaudidae,1,0,1,0,1,0,0,0,100,0
Long-tailed tits (Aegithalidae),Aegithalidae,1,0,1,0,1,0,0,0,100,0
New World vultures (Cathartidae),Cathartidae,1,0,1,0,1,0,0,0,100,0
Nightjars (Caprimulgidae),Caprimulgidae,1,0,1,0,1,0,0,0,100,0
Nuthatches (Sittidae),Sittidae,1,0,1,0,1,0,0,0,100,0
Old World sparrows (Passeridae),Passeridae,1,1,0,0,0,0,0,0,0,100
Osprey (Pandionidae),Pandionidae,1,0,1,0,1,0,0,0,100,0
Oystercatchers (Haematopodidae),Haematopodidae,1,0,1,0,1,0,0,0,100,0
Pelicans (Pelecanidae),Pelecanidae,1,0,1,0,1,0,0,0,100,0
"Rails, gallinules & coots (Rallidae)",Rallidae,1,0,0,1,1,0,0,0,100,0
Shrikes (Laniidae),Laniidae,1,0,1,0,1,0,0,0,100,0
Starlings (Sturnidae),Sturnidae,1,0,1,0,1,0,0,0,100,0
Treecreepers (Certhiidae),Certhiidae,1,0,1,0,1,0,0,0,100,0
Wagtails & pipits (Motacillidae),Motacillidae,1,0,1,0,1,1,0,1,100,0
Waxwings (Bombycillidae),Bombycillidae,1,0,1,0,1,0,0,0,100,0
