"Taxon","Matched.Taxon","Critical.Note"
"Abietinaria","Abietinaria sp.",""
"Adalaria evincta","Onchidoris evincta",""
"Adocia","Adocia sp.",""
"Aequorea victoria","Aequorea victoria s.lat.",""
"Aglaophenia","Aglaophenia sp.",""
"Alcyonium","Alcyonium sp.",""
"Antho karykina","Antho (Plocamia) karykina",""
"Aplysilla","Aplysilla sp.",""
"Balanophyllia elegans","Balanophyllia (Balanophyllia) elegans",""
"Barentsia","Barentsia sp.",""
"Bougainvillia","Bougainvillia sp.",""
"Bowerbankia","Bowerbankia sp.",""
"Caryophyllia alaskensis","Caryophyllia (Caryophyllia) alaskensis",""
"Chaetopterus variopedatus","Chaetopterus variopedatus complex",""
"Clathria pennata","Clathria (Microciona) pennata",""
"Clathrina","Clathrina sp.",""
"Crepidula nummaria","Crepidula cf. nummaria",""
"Crisia","Crisia sp.",""
"Didemnum","Didemnum sp.",""
"Dodecaceria fewkesi","Dodecaceria pacifica",""
"Epigamia alexandri","Epigamia cf. alexandri",""
"Eumida","Eulalia sp.",""
"Euphausia","Euphausia sp.",""
"Euphysa","Euphysa sp.",""
"Fusinus","Fusinus sp.",""
"Grammaria","Grammaria sp.",""
"Halichondria bowerbanki","Halichondria (Halichondria) bowerbanki",""
"Halichondria panicea","Halichondria (Halichondria) panicea",""
"Halichondria sitiens","Halichondria (Eumastia) sitiens",""
"Haliclona","Haliclona (Haliclona) sp.",""
"Hamigera","Hamigera sp.",""
"Henricia","Henricia leviuscula complex",""
"Henricia leviuscula","Henricia leviuscula complex",""
"Himatina trophina","Coryphella trophina",""
"Hydractinia","Hydractinia sp.",""
"Knoutsodonta jannae","Atalodoris jannae",""
"Lepeophtheirus","Lepeophtheirus sp.",""
"Lepidochitona","Lepidochitona sp.",""
"Lopholithodes foraminatus","Echidnocerus foraminatus",""
"Lopholithodes mandtii","Echidnocerus cibarius",""
"Membranipora membranacea","Membranipora villosa",""
"Muggiaea","Muggiaea sp.",""
"Mycale adhaerens","Mycale (Aegogropila) adhaerens",""
"Mytilus edulis","Mytilus edulis complex",""
"Mytilus trossulus","Mytilus edulis complex",""
"Myxicola aesthetica","Myxicola sp.A",""
"Myxicola infundibulum","Myxicola sp.B",""
"Myxilla incrustans","Myxilla (Myxilla) incrustans",""
"Myxilla lacunosa","Myxilla (Myxilla) lacunosa",""
"Nereis","Nereis sp.",""
"Nereis zonata","Nereis cf. zonata",""
"Nitidella","Nitidella sp.",""
"Obelia","Obelia sp.",""
"Odostomia","Odostomia sp.",""
"Oenopota","Oenopota sp.",""
"Orienthella trilineata","Coryphella trilineata",""
"Orthopyxis","Orthopyxis sp.",""
"Pachychalina","Pachychalina sp.",""
"Pentamera","Pentamera sp.",""
"Phyllochaetopterus","Phyllochaetopterus sp.",""
"Pileolaria","Pileolaria sp.",""
"Pleraplysilla","Pleraplysilla sp.",""
"Plumularia","Plumularia sp.",""
