"","Taxon","Taxon.Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"1","Accipiter cooperii","Bonaparte, 1828",NA,"Cooper's hawk","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,"Accipitridae","",NA,"Accipiter","cooperii",NA,"",NA,"native","S5 (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-09-01","Karolle Wall","iNat:4014861","",5112,"BIR"
"2","Accipiter gentilis","Linnaeus, 1758",NA,"northern goshawk","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,"Accipitridae","",NA,"Accipiter","gentilis",NA,"",NA,"native","S4B,S4N (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"3","Accipiter striatus","Vieillot, 1808",NA,"sharp-shinned hawk","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Accipitriformes",NA,NA,"Accipitridae","",NA,"Accipiter","striatus",NA,"",NA,"native","S5B,S5N (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2016-04-12","Sarah Tweedale","iNat:2929563","",5097,"BIR"
"4","Actitis macularius","(Linnaeus, 1766)",NA,"spotted sandpiper","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Charadriiformes",NA,NA,"Scolopacidae","",NA,"Actitis","macularius",NA,"",NA,"native","S5B (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2017-05-19","Andrew Simon","iNat:6425128","",72458,"BIR"
"5","Aechmophorus occidentalis","(Lawrence, 1858)",NA,"western grebe","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Podicipediformes",NA,NA,"Podicipedidae","",NA,"Aechmophorus","occidentalis",NA,"",NA,"native","S1B,S2N (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"6","Aegolius acadicus","(Gmelin, 1788)",NA,"northern saw-whet owl","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Strigiformes",NA,NA,"Strigidae","",NA,"Aegolius","acadicus",NA,"",NA,"native","S5B,S5N (2009)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2020-02-03","Tanya Inglis","iNat:38263361","",20356,"BIR"
"7","Agelaius phoeniceus","(Linnaeus, 1766)",NA,"red-winged blackbird","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Passeriformes",NA,NA,"Icteridae","",NA,"Agelaius","phoeniceus",NA,"",NA,"native","S5B,S5N (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2010-02-20","Michael Hoebel","iNat:4046914","",9744,"BIR"
"8","Aix sponsa","(Linnaeus, 1758)",NA,"wood duck","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Aix","sponsa",NA,"",NA,"native","S4B,S4N (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2018-06-03","cmac79’","iNat:13198092","",7107,"BIR"
"9","Anas acuta","Linnaeus, 1758",NA,"northern pintail","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Anas","acuta",NA,"",NA,"native","S4B,S5N (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
"10","Anas carolinensis","Gmelin, 1789",NA,"green-winged teal","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Anas","carolinensis",NA,"",NA,"native","S5B,S5N (2015)",NA,"confirmed","observed","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"2019-12-29","Andrew Simon","iNat:37084654","",NA,"BIR"
"11","Anas clypeata","(Linnaeus, 1758)",NA,"northern shoveler","Animalia","Chordata","Vertebrata",NA,"Aves",NA,NA,"Anseriformes",NA,NA,"Anatidae","",NA,"Anas","clypeata",NA,"",NA,"native","S5B,S5N (2015)",NA,"reported","unobserved","2016","Galiano Naturalist","Galiano Bird Checklist","",NA,"","","","",NA,"BIR"
