id,left,top,right,bottom,LONG,LAT
1,456875.000000000058208,5429207.999999988824129,457875.000000000058208,5428207.999999988824129,-123.583,49.010
2,456875.000000000058208,5428207.999999988824129,457875.000000000058208,5427207.999999988824129,-123.583,49.001
3,456875.000000000058208,5427207.999999988824129,457875.000000000058208,5426207.999999988824129,-123.583,48.992
4,456875.000000000058208,5426207.999999988824129,457875.000000000058208,5425207.999999988824129,-123.583,48.983
19,457875.000000000058208,5429207.999999988824129,458875.000000000058208,5428207.999999988824129,-123.569,49.010
20,457875.000000000058208,5428207.999999988824129,458875.000000000058208,5427207.999999988824129,-123.569,49.001
21,457875.000000000058208,5427207.999999988824129,458875.000000000058208,5426207.999999988824129,-123.569,48.992
22,457875.000000000058208,5426207.999999988824129,458875.000000000058208,5425207.999999988824129,-123.569,48.983
23,457875.000000000058208,5425207.999999988824129,458875.000000000058208,5424207.999999988824129,-123.569,48.974
38,458875.000000000058208,5428207.999999988824129,459875.000000000058208,5427207.999999988824129,-123.555,49.001
39,458875.000000000058208,5427207.999999988824129,459875.000000000058208,5426207.999999988824129,-123.555,48.992
40,458875.000000000058208,5426207.999999988824129,459875.000000000058208,5425207.999999988824129,-123.555,48.983
41,458875.000000000058208,5425207.999999988824129,459875.000000000058208,5424207.999999988824129,-123.555,48.974
42,458875.000000000058208,5424207.999999988824129,459875.000000000058208,5423207.999999988824129,-123.555,48.965
57,459875.000000000058208,5427207.999999988824129,460875.000000000058208,5426207.999999988824129,-123.542,48.992
58,459875.000000000058208,5426207.999999988824129,460875.000000000058208,5425207.999999988824129,-123.542,48.983
59,459875.000000000058208,5425207.999999988824129,460875.000000000058208,5424207.999999988824129,-123.541,48.974
60,459875.000000000058208,5424207.999999988824129,460875.000000000058208,5423207.999999988824129,-123.541,48.965
61,459875.000000000058208,5423207.999999988824129,460875.000000000058208,5422207.999999988824129,-123.541,48.956
77,460875.000000000058208,5425207.999999988824129,461875.000000000058208,5424207.999999988824129,-123.528,48.974
78,460875.000000000058208,5424207.999999988824129,461875.000000000058208,5423207.999999988824129,-123.528,48.965
79,460875.000000000058208,5423207.999999988824129,461875.000000000058208,5422207.999999988824129,-123.528,48.956
80,460875.000000000058208,5422207.999999988824129,461875.000000000058208,5421207.999999988824129,-123.528,48.947
95,461875.000000000058208,5425207.999999988824129,462875.000000000058208,5424207.999999988824129,-123.514,48.974
96,461875.000000000058208,5424207.999999988824129,462875.000000000058208,5423207.999999988824129,-123.514,48.965
97,461875.000000000058208,5423207.999999988824129,462875.000000000058208,5422207.999999988824129,-123.514,48.956
98,461875.000000000058208,5422207.999999988824129,462875.000000000058208,5421207.999999988824129,-123.514,48.947
99,461875.000000000058208,5421207.999999988824129,462875.000000000058208,5420207.999999988824129,-123.514,48.938
115,462875.000000000058208,5423207.999999988824129,463875.000000000058208,5422207.999999988824129,-123.500,48.956
116,462875.000000000058208,5422207.999999988824129,463875.000000000058208,5421207.999999988824129,-123.500,48.947
117,462875.000000000058208,5421207.999999988824129,463875.000000000058208,5420207.999999988824129,-123.500,48.938
134,463875.000000000058208,5422207.999999988824129,464875.000000000058208,5421207.999999988824129,-123.487,48.947
135,463875.000000000058208,5421207.999999988824129,464875.000000000058208,5420207.999999988824129,-123.486,48.938
136,463875.000000000058208,5420207.999999988824129,464875.000000000058208,5419207.999999988824129,-123.486,48.929
150,464875.000000000058208,5424207.999999988824129,465875.000000000058208,5423207.999999988824129,-123.473,48.965
152,464875.000000000058208,5422207.999999988824129,465875.000000000058208,5421207.999999988824129,-123.473,48.947
153,464875.000000000058208,5421207.999999988824129,465875.000000000058208,5420207.999999988824129,-123.473,48.938
154,464875.000000000058208,5420207.999999988824129,465875.000000000058208,5419207.999999988824129,-123.473,48.929
170,465875.000000000058208,5422207.999999988824129,466875.000000000058208,5421207.999999988824129,-123.459,48.947
171,465875.000000000058208,5421207.999999988824129,466875.000000000058208,5420207.999999988824129,-123.459,48.938
172,465875.000000000058208,5420207.999999988824129,466875.000000000058208,5419207.999999988824129,-123.459,48.929
173,465875.000000000058208,5419207.999999988824129,466875.000000000058208,5418207.999999988824129,-123.459,48.920
174,465875.000000000058208,5418207.999999988824129,466875.000000000058208,5417207.999999988824129,-123.459,48.911
185,466875.000000000058208,5425207.999999988824129,467875.000000000058208,5424207.999999988824129,-123.446,48.974
189,466875.000000000058208,5421207.999999988824129,467875.000000000058208,5420207.999999988824129,-123.445,48.938
190,466875.000000000058208,5420207.999999988824129,467875.000000000058208,5419207.999999988824129,-123.445,48.929
191,466875.000000000058208,5419207.999999988824129,467875.000000000058208,5418207.999999988824129,-123.445,48.920
193,466875.000000000058208,5417207.999999988824129,467875.000000000058208,5416207.999999988824129,-123.445,48.902
208,467875.000000000058208,5420207.999999988824129,468875.000000000058208,5419207.999999988824129,-123.432,48.929
209,467875.000000000058208,5419207.999999988824129,468875.000000000058208,5418207.999999988824129,-123.432,48.920
210,467875.000000000058208,5418207.999999988824129,468875.000000000058208,5417207.999999988824129,-123.432,48.912
216,467875.000000000058208,5412207.999999988824129,468875.000000000058208,5411207.999999988824129,-123.431,48.858
226,468875.000000000058208,5420207.999999988824129,469875.000000000058208,5419207.999999988824129,-123.418,48.930
227,468875.000000000058208,5419207.999999988824129,469875.000000000058208,5418207.999999988824129,-123.418,48.921
228,468875.000000000058208,5418207.999999988824129,469875.000000000058208,5417207.999999988824129,-123.418,48.912
229,468875.000000000058208,5417207.999999988824129,469875.000000000058208,5416207.999999988824129,-123.418,48.903
230,468875.000000000058208,5416207.999999988824129,469875.000000000058208,5415207.999999988824129,-123.418,48.894
231,468875.000000000058208,5415207.999999988824129,469875.000000000058208,5414207.999999988824129,-123.418,48.885
245,469875.000000000058208,5419207.999999988824129,470875.000000000058208,5418207.999999988824129,-123.404,48.921
246,469875.000000000058208,5418207.999999988824129,470875.000000000058208,5417207.999999988824129,-123.404,48.912
247,469875.000000000058208,5417207.999999988824129,470875.000000000058208,5416207.999999988824129,-123.404,48.903
248,469875.000000000058208,5416207.999999988824129,470875.000000000058208,5415207.999999988824129,-123.404,48.894
249,469875.000000000058208,5415207.999999988824129,470875.000000000058208,5414207.999999988824129,-123.404,48.885
250,469875.000000000058208,5414207.999999988824129,470875.000000000058208,5413207.999999988824129,-123.404,48.876
263,470875.000000000058208,5419207.999999988824129,471875.000000000058208,5418207.999999988824129,-123.391,48.921
264,470875.000000000058208,5418207.999999988824129,471875.000000000058208,5417207.999999988824129,-123.391,48.912
265,470875.000000000058208,5417207.999999988824129,471875.000000000058208,5416207.999999988824129,-123.391,48.903
266,470875.000000000058208,5416207.999999988824129,471875.000000000058208,5415207.999999988824129,-123.391,48.894
267,470875.000000000058208,5415207.999999988824129,471875.000000000058208,5414207.999999988824129,-123.390,48.885
268,470875.000000000058208,5414207.999999988824129,471875.000000000058208,5413207.999999988824129,-123.390,48.876
269,470875.000000000058208,5413207.999999988824129,471875.000000000058208,5412207.999999988824129,-123.390,48.867
282,471875.000000000058208,5418207.999999988824129,472875.000000000058208,5417207.999999988824129,-123.377,48.912
283,471875.000000000058208,5417207.999999988824129,472875.000000000058208,5416207.999999988824129,-123.377,48.903
284,471875.000000000058208,5416207.999999988824129,472875.000000000058208,5415207.999999988824129,-123.377,48.894
285,471875.000000000058208,5415207.999999988824129,472875.000000000058208,5414207.999999988824129,-123.377,48.885
286,471875.000000000058208,5414207.999999988824129,472875.000000000058208,5413207.999999988824129,-123.377,48.876
287,471875.000000000058208,5413207.999999988824129,472875.000000000058208,5412207.999999988824129,-123.377,48.867
288,471875.000000000058208,5412207.999999988824129,472875.000000000058208,5411207.999999988824129,-123.377,48.858
300,472875.000000000058208,5418207.999999988824129,473875.000000000058208,5417207.999999988824129,-123.363,48.912
301,472875.000000000058208,5417207.999999988824129,473875.000000000058208,5416207.999999988824129,-123.363,48.903
302,472875.000000000058208,5416207.999999988824129,473875.000000000058208,5415207.999999988824129,-123.363,48.894
303,472875.000000000058208,5415207.999999988824129,473875.000000000058208,5414207.999999988824129,-123.363,48.885
304,472875.000000000058208,5414207.999999988824129,473875.000000000058208,5413207.999999988824129,-123.363,48.876
305,472875.000000000058208,5413207.999999988824129,473875.000000000058208,5412207.999999988824129,-123.363,48.867
306,472875.000000000058208,5412207.999999988824129,473875.000000000058208,5411207.999999988824129,-123.363,48.858
319,473875.000000000058208,5417207.999999988824129,474875.000000000058208,5416207.999999988824129,-123.350,48.903
320,473875.000000000058208,5416207.999999988824129,474875.000000000058208,5415207.999999988824129,-123.350,48.894
321,473875.000000000058208,5415207.999999988824129,474875.000000000058208,5414207.999999988824129,-123.350,48.885
322,473875.000000000058208,5414207.999999988824129,474875.000000000058208,5413207.999999988824129,-123.349,48.876
323,473875.000000000058208,5413207.999999988824129,474875.000000000058208,5412207.999999988824129,-123.349,48.867
324,473875.000000000058208,5412207.999999988824129,474875.000000000058208,5411207.999999988824129,-123.349,48.858
337,474875.000000000058208,5417207.999999988824129,475875.000000000058208,5416207.999999988824129,-123.336,48.903
338,474875.000000000058208,5416207.999999988824129,475875.000000000058208,5415207.999999988824129,-123.336,48.894
339,474875.000000000058208,5415207.999999988824129,475875.000000000058208,5414207.999999988824129,-123.336,48.885
340,474875.000000000058208,5414207.999999988824129,475875.000000000058208,5413207.999999988824129,-123.336,48.876
341,474875.000000000058208,5413207.999999988824129,475875.000000000058208,5412207.999999988824129,-123.336,48.867
342,474875.000000000058208,5412207.999999988824129,475875.000000000058208,5411207.999999988824129,-123.336,48.858
356,475875.000000000058208,5416207.999999988824129,476875.000000000058208,5415207.999999988824129,-123.322,48.894
357,475875.000000000058208,5415207.999999988824129,476875.000000000058208,5414207.999999988824129,-123.322,48.885
358,475875.000000000058208,5414207.999999988824129,476875.000000000058208,5413207.999999988824129,-123.322,48.876
359,475875.000000000058208,5413207.999999988824129,476875.000000000058208,5412207.999999988824129,-123.322,48.867
360,475875.000000000058208,5412207.999999988824129,476875.000000000058208,5411207.999999988824129,-123.322,48.858
375,476875.000000000058208,5415207.999999988824129,477875.000000000058208,5414207.999999988824129,-123.309,48.885
376,476875.000000000058208,5414207.999999988824129,477875.000000000058208,5413207.999999988824129,-123.309,48.876
377,476875.000000000058208,5413207.999999988824129,477875.000000000058208,5412207.999999988824129,-123.309,48.867
378,476875.000000000058208,5412207.999999988824129,477875.000000000058208,5411207.999999988824129,-123.308,48.858
