"","Taxon","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","latitude","longitude","geoprivacy","private_latitude","private_longitude","id"
"74","Lamium galeobdolon ssp. argentatum","Lamium","galeobdolon","","argentatum","","exotic","unlisted","",48.873336,-123.346591,"",NA,NA,125681210
"13725","Crocus × stellaris","Crocus","","Crocus × stellaris","","","exotic","unlisted","",48.8955265652,-123.4103350063,"",NA,NA,38469122
"13726","Crocus × stellaris","Crocus","","Crocus × stellaris","","","exotic","unlisted","",48.89565,-123.4103466667,"",NA,NA,70515530
"17867","Geranium × oxonianum","Geranium","","Geranium × oxonianum","","","exotic","unlisted","",48.8726782252,-123.3489450745,"",NA,NA,85291250
"19320","Hyacinthoides × massartiana","Hyacinthoides","","Hyacinthoides × massartiana","","","exotic","unlisted","",48.8927124705,-123.3911526203,"",NA,NA,6047517
"19321","Hyacinthoides × massartiana","Hyacinthoides","","Hyacinthoides × massartiana","","","exotic","unlisted","",48.8720823,-123.3122892,"",NA,NA,6425084
"19322","Hyacinthoides × massartiana","Hyacinthoides","","Hyacinthoides × massartiana","","","exotic","unlisted","",48.8724116667,-123.3115416667,"",NA,NA,24701576
"19323","Hyacinthoides × massartiana","Hyacinthoides","","Hyacinthoides × massartiana","","","exotic","unlisted","",48.8717739517,-123.3108738532,"",NA,NA,24713780
"19324","Hyacinthoides × massartiana","Hyacinthoides","","Hyacinthoides × massartiana","","","exotic","unlisted","",48.86805,-123.3871716667,"",NA,NA,24768192
"19325","Hyacinthoides × massartiana","Hyacinthoides","","Hyacinthoides × massartiana","","","exotic","unlisted","",48.8680566667,-123.3871616667,"",NA,NA,24768193
"19326","Hyacinthoides × massartiana","Hyacinthoides","","Hyacinthoides × massartiana","","","exotic","unlisted","",48.871555,-123.3110583333,"",NA,NA,24874156
"19327","Hyacinthoides × massartiana","Hyacinthoides","","Hyacinthoides × massartiana","","","exotic","unlisted","",48.8716866667,-123.3121033333,"",NA,NA,32125266
