"","Taxon","Genus","Species","Hybrid","Subspecies","Variety","Origin","Provincial.Status","National.Status","latitude","longitude","geoprivacy","private_latitude","private_longitude","id"
"1","Athyrium filix-femina ssp. cyclosorum","Athyrium","filix-femina","","cyclosorum","","native","S5","",48.930236,-123.467016,"",NA,NA,2567709
"2","Athyrium filix-femina ssp. cyclosorum","Athyrium","filix-femina","","cyclosorum","","native","S5","",48.8742966667,-123.34268,"",NA,NA,3164023
"3","Camassia leichtlinii ssp. suksdorfii","Camassia","leichtlinii","","suksdorfii","","native","S4","",48.932492,-123.484526,"",NA,NA,2567447
"4","Camassia leichtlinii ssp. suksdorfii","Camassia","leichtlinii","","suksdorfii","","native","S4","",48.94361,-123.509824,"",NA,NA,2604245
"5","Camassia leichtlinii ssp. suksdorfii","Camassia","leichtlinii","","suksdorfii","","native","S4","",48.926532,-123.465729,"",NA,NA,2625671
"6","Camassia leichtlinii ssp. suksdorfii","Camassia","leichtlinii","","suksdorfii","","native","S4","",49.0128508985,-123.5731029511,"",NA,NA,6309369
"7","Camassia leichtlinii ssp. suksdorfii","Camassia","leichtlinii","","suksdorfii","","native","S4","",48.8688001483,-123.378610611,"",NA,NA,6410311
"8","Camassia leichtlinii ssp. suksdorfii","Camassia","leichtlinii","","suksdorfii","","native","S4","",48.869368,-123.37881,"",NA,NA,12287603
"9","Camassia leichtlinii ssp. suksdorfii","Camassia","leichtlinii","","suksdorfii","","native","S4","",48.958745,-123.533369,"",NA,NA,12373774
"10","Cerastium arvense ssp. strictum","Cerastium","arvense","","strictum","","native","S5","",48.932492,-123.484526,"",NA,NA,2567449
"11","Cerastium arvense ssp. strictum","Cerastium","arvense","","strictum","","native","S5","",48.8680686951,-123.3404006958,"",NA,NA,24567431
"12","Cerastium arvense ssp. strictum","Cerastium","arvense","","strictum","","native","S5","",48.867525,-123.340158,"",NA,NA,42431229
"13","Cerastium arvense ssp. strictum","Cerastium","arvense","","strictum","","native","S5","",48.86833,-123.3411083333,"",NA,NA,43252908
"14","Cerastium arvense ssp. strictum","Cerastium","arvense","","strictum","","native","S5","",48.8668399832,-123.3436244157,"",NA,NA,43253145
"15","Cerastium arvense ssp. strictum","Cerastium","arvense","","strictum","","native","S5","",48.8636724,-123.3299201,"",NA,NA,78657697
"16","Cerastium arvense ssp. strictum","Cerastium","arvense","","strictum","","native","S5","",48.8685266667,-123.3791933333,"",NA,NA,81147008
"17","Circaea alpina ssp. pacifica","Circaea","alpina","","pacifica","","native","S5","",48.868328,-123.345823,"",NA,NA,2561121
"18","Circaea alpina ssp. pacifica","Circaea","alpina","","pacifica","","native","S5","",48.995741,-123.577927,"",NA,NA,13224719
"19","Clarkia amoena ssp. caurina","Clarkia","amoena","","caurina","","native","S3S4","",48.8666344599,-123.3756709099,"",NA,NA,6411597
"20","Clarkia amoena ssp. lindleyi","Clarkia","amoena","","lindleyi","","native","S3S4","",48.8675237068,-123.3397507668,"",NA,NA,6434828
"21","Claytonia exigua ssp. glauca","Claytonia","exigua","","glauca","","native","S4","",48.868813,-123.378925,"",NA,NA,5473252
"22","Claytonia exigua ssp. glauca","Claytonia","exigua","","glauca","","native","S4","",48.869788,-123.380023,"",NA,NA,9142506
"23","Claytonia exigua ssp. glauca","Claytonia","exigua","","glauca","","native","S4","",48.869788,-123.380023,"",NA,NA,9142531
"24","Claytonia rubra ssp. depressa","Claytonia","rubra","","depressa","","native","S5","",48.868022,-123.377638,"",NA,NA,5472855
"25","Claytonia rubra ssp. depressa","Claytonia","rubra","","depressa","","native","S5","",48.866907,-123.341781,"",NA,NA,10671922
"26","Cornus sericea ssp. occidentalis","Cornus","sericea","","occidentalis","","native","S5","",48.9006431277,-123.4416417329,"",NA,NA,14633044
"27","Corylus cornuta ssp. californica","Corylus","cornuta","","californica","","native","S5","",48.894831,-123.362483,"",NA,NA,3682332
"28","Equisetum hyemale ssp. affine","Equisetum","hyemale","","affine","","native","S5","",48.933552,-123.482594,"",NA,NA,2561787
"29","Equisetum hyemale ssp. affine","Equisetum","hyemale","","affine","","native","S5","",48.899913,-123.405669,"",NA,NA,2771233
"30","Equisetum hyemale ssp. affine","Equisetum","hyemale","","affine","","native","S5","",48.9642027778,-123.5159444444,"",NA,NA,24666636
"31","Equisetum hyemale ssp. affine","Equisetum","hyemale","","affine","","native","S5","",48.8998013176,-123.4064143897,"",NA,NA,25478711
"32","Equisetum hyemale ssp. affine","Equisetum","hyemale","","affine","","native","S5","",48.98858809,-123.55662782,"",NA,NA,72223774
"33","Equisetum hyemale ssp. affine","Equisetum","hyemale","","affine","","native","S5","",48.9230949,-123.4557352603,"",NA,NA,74711597
"34","Equisetum hyemale ssp. affine","Equisetum","hyemale","","affine","","native","S5","",48.9691344336,-123.5232781977,"",NA,NA,107021656
"35","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.931127,-123.468132,"",NA,NA,2566305
"36","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.929987,-123.466458,"",NA,NA,2567325
"37","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.929213,-123.470385,"",NA,NA,2567674
"38","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.930236,-123.467016,"",NA,NA,2567721
"39","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.93062,-123.466587,"",NA,NA,2568920
"40","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.92921,-123.470621,"",NA,NA,2569390
"41","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.929326,-123.470514,"",NA,NA,2591233
"42","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.918506,-123.405561,"",NA,NA,2914815
"43","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.916645,-123.424273,"",NA,NA,3093858
"44","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.8907915686,-123.347297832,"",NA,NA,6487428
"45","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.87398,-123.3491183333,"",NA,NA,13973465
"46","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.8654388889,-123.3501972222,"",NA,NA,13991902
"47","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.8651816667,-123.3327233333,"",NA,NA,22799467
"48","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.8793283333,-123.3210133333,"",NA,NA,23775305
"49","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.9857300744,-123.5598832649,"",NA,NA,24652505
"50","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.9816119839,-123.5576080436,"",NA,NA,24653163
"51","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.9626416667,-123.5191333333,"",NA,NA,24694143
"52","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.9627558645,-123.5192577728,"",NA,NA,24710417
"53","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.9651720738,-123.5168470537,"",NA,NA,24941801
"54","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.9650385501,-123.5169944075,"",NA,NA,24941823
"55","Equisetum telmateia ssp. braunii","Equisetum","telmateia","","braunii","","native","S5","",48.9791552676,-123.5574188178,"",NA,NA,25480265
