"Taxon","Curator.Decision","Curator.Notes"
"Callitropsis nootkatensis","DELETE","non-established"
"Carex oederi oederi","SYNONYM","Syn. Carex oederi var. oederi"
"Brassica oleracea","DELETE","non-established"
"Brassica oleracea capitata","DELETE","non-established"
"Brassica rapa","DELETE","non-established"
"Castanea sativa","DELETE","non-established"
"Colchicum autumnale","DELETE","non-established"
"Convallaria majalis","DELETE","non-established"
"Cortaderia","DELETE","non-established"
"Cortaderia selloana","DELETE","non-established"
"Corylus americana","DELETE","non-established"
"Corylus avellana","DELETE","non-established"
"Cydonia oblonga","DELETE","non-established"
"Elaeagnus umbellata","DELETE","non-established"
"Epimedium × versicolor","DELETE","non-established"
"Euphorbia characias","DELETE","non-established"
"Gaillardia","DELETE","non-established"
"Geranium macrorrhizum","DELETE","non-established"
"Geranium pratense","DELETE","non-established"
"Glandora","DELETE","non-established"
"Hemerocallis fulva","DELETE","non-established"
"Hemerocallis lilioasphodelus","DELETE","non-established"
"Heracleum maximum","DELETE","non-established"
"Hippophae rhamnoides","DELETE","non-established"
"Layia platyglossa","DELETE","non-established"
"Ligustrum ovalifolium","DELETE","non-established"
"Lilium longiflorum","DELETE","non-established"
"Nigella damascena","DELETE","non-established"
"Oplopanax horridus","DELETE","non-established"
"Osmanthus heterophyllus","DELETE","non-established"
"Oxalis articulata","DELETE","non-established"
"Oxalis oregana","DELETE","non-established"
"Santolina chamaecyparissus","DELETE","non-established"
"Viburnum opulus","DELETE","non-established"
"Calystegia silvatica","SYNONYM","Syn. Calystegia silvatica ssp. silvatica"
"Narcissus × medioluteus","SYNONYM","Syn. Narcissus cf. pseudonarcissus"
"Ranunculus occidentalis","SYNONYM","Syn. Ranunculus occidentalis var. occidentalis"
"Raphanus raphanistrum sativus","SYNONYM","Syn. Raphanus raphanistrum"
"Acer circinatum","DELETE","non-established"
"Acer glabrum","SYNONYM","Syn. Acer glabrum var. douglasii"
"Acer platanoides","DELETE","non-established"
"Achillea borealis borealis","SYNONYM","Syn. Achillea millefolium complex"
"Achillea filipendulina","SYNONYM","Syn. Achillea millefolium complex"
"Achillea millefolium","SYNONYM","Syn. Achillea millefolium complex"
"Actinidia","DELETE","non-established"
"Actinidia arguta","DELETE","non-established"
"Actinidia chinensis","DELETE","non-established"
"Actinidia kolomikta","DELETE","non-established"
"Adiantum aleuticum","SYNONYM","Syn. Adiantum aleuticum var. aleuticum"
"Agoseris grandiflora","SYNONYM","Syn. Agoseris grandiflora var. leptophylla"
"Agoseris heterophylla","SYNONYM","Syn. Agoseris heterophylla ssp. heterophylla"
"Alchemilla mollis","DELETE","non-established"
"Alisma","DELETE","non-established"
"Amelanchier alnifolia semi-integrifolia","SYNONYM","Syn. Amelanchier alnifolia"
"Anemonoides blanda","DELETE","non-established"
"Anthoxanthum aristatum","SYNONYM","Syn. Anthoxanthum aristatum ssp. aristatum"
"Aquilegia vulgaris","DELETE","non-established"
"Argentina anserina","SYNONYM","Syn. Argentina pacifica"
"Arrhenatherum elatius","SYNONYM","Syn. Arrhenatherum elatius ssp. elatius"
"Artemisia campestris","SYNONYM","Syn. Artemisia campestris ssp. pacifica"
"Asparagus officinalis","DELETE","non-established"
"Asplenium trichomanes","SYNONYM","Syn. Asplenium trichomanes ssp. trichomanes"
"Athyrium filix-femina","SYNONYM","Syn. Athyrium filix-femina ssp. cyclosorum"
