"Taxon","ID","Curator.Decision","Curator.Notes"
"Abies","54262","DELETE","genus"
"Abietoideae","1456299","DELETE","higher"
"Acer","47727","DELETE","genus"
"Achillea","52818","DELETE","genus"
"Achlys","71943","DELETE","genus"
"Agoseris","52829","DELETE","genus"
"Agrostis","52693","DELETE","genus"
"Aira","52695","DELETE","genus"
"Alchemilla","56023","DELETE","genus"
"Allium","47357","DELETE","genus"
"Alnus","53352","DELETE","genus"
"Alopecurus","58365","DELETE","genus"
"Amaranthus","52326","DELETE","genus"
"Amaryllidoideae","924654","DELETE","higher"
"Ambrosia","53036","DELETE","genus"
"Amelanchier","49230","DELETE","genus"
"Amygdaloideae","922110","DELETE","higher"
"Anaphalis","52834","DELETE","genus"
"Angiospermae","47125","DELETE","higher"
"Anisocarpus","53141","DELETE","genus"
"Anthemideae","373844","DELETE","higher"
"Anthoxanthum","71973","DELETE","genus"
"Anthriscus","52847","DELETE","genus"
"Antirrhineae","556743","DELETE","higher"
"Aphanes","1367476","DELETE","higher"
"Apiaceae","48699","DELETE","higher"
"Apioideae","790553","DELETE","higher"
"Aquifoliaceae","53855","DELETE","higher"
"Arbutoideae","571287","DELETE","higher"
"Arbutus","51047","DELETE","genus"
"Arctium","59571","DELETE","genus"
"Arctostaphylos","47179","DELETE","genus"
"Argentina","156879","DELETE","genus"
"Artemisia","52855","DELETE","genus"
"Asparagales","47218","DELETE","higher"
"Asteraceae","47604","DELETE","higher"
"Asteroideae","632790","DELETE","higher"
"Atriplex","58112","DELETE","genus"
"Batrachioidea","964904","DELETE","higher"
"Berberis","58728","DELETE","genus"
"Betula","49156","DELETE","genus"
"Betulaceae","49155","DELETE","higher"
"Bidens","50204","DELETE","genus"
"Boraginaceae","48150","DELETE","higher"
"Brassicaceae","47204","DELETE","higher"
"Brassicales","71275","DELETE","higher"
"Brassicoideae","1473853","DELETE","higher"
"Brevicalcaratae","977146","DELETE","higher"
"Brodiaea","51753","DELETE","genus"
"Bromopsis","1089680","DELETE","higher"
"Bromus","52701","DELETE","genus"
"Cakile","52163","DELETE","genus"
"Calandrinia","49912","DELETE","genus"
"Callitriche","58096","DELETE","genus"
"Calystegia","56031","DELETE","genus"
"Camassia","62219","DELETE","genus"
"Campanula","48596","DELETE","genus"
"Candicantes","1449266","DELETE","higher"
"Caprifoliaceae","48527","DELETE","higher"
"Caprifolioideae","345605","DELETE","higher"
"Cardamine","49652","DELETE","genus"
"Carduinae","632885","DELETE","higher"
"Carduoideae","201654","DELETE","higher"
"Carex","48571","DELETE","genus"
"Caryophyllaceae","48567","DELETE","higher"
"Caryophyllales","47366","DELETE","higher"
"Castilleja","49340","DELETE","genus"
"Centaurium","56234","DELETE","genus"
"Centranthus","57286","DELETE","genus"
"Cerastium","50853","DELETE","genus"
