"","Taxon","Genus","Species","Hybrid","Subspecies","Variety","Form","Matched.Taxon"
"1","Acer glabrum","Acer","glabrum","","","","","Acer glabrum var. douglasii"
"2","Achillea millefolium","Achillea","millefolium","","","","","Achillea millefolium complex"
"3","Achillea millefolium borealis","Achillea","millefolium","","","borealis","","Achillea millefolium complex"
"4","Achillea millefolium californica","Achillea","millefolium","","","californica","","Achillea millefolium complex"
"5","Achillea millefolium var. californica","Achillea","millefolium","","","californica","","Achillea millefolium complex"
"6","Adiantum aleuticum","Adiantum","aleuticum","","","","","Adiantum aleuticum var. aleuticum"
"7","Adiantum aleuticum aleuticum","Adiantum","aleuticum","","","aleuticum","","Adiantum aleuticum var. aleuticum"
"8","Agoseris grandiflora","Agoseris","grandiflora","","","","","Agoseris grandiflora var. leptophylla"
"9","Agoseris grandiflora leptophylla","Agoseris","grandiflora","","","leptophylla","","Agoseris grandiflora var. leptophylla"
"10","Agoseris heterophylla","Agoseris","heterophylla","","","","","Agoseris heterophylla ssp. heterophylla"
"11","Agoseris heterophylla heterophylla","Agoseris","heterophylla","","heterophylla","","","Agoseris heterophylla ssp. heterophylla"
"12","Agoseris heterophylla var. heterophylla","Agoseris","heterophylla","","","heterophylla","","Agoseris heterophylla ssp. heterophylla"
"13","Agropyron repens","Agropyron","repens","","","","","Elymus repens"
"14","Amelanchier alnifolia semiintegrifolia","Amelanchier","alnifolia","","","semiintegrifolia","","Amelanchier alnifolia"
"15","Amsinckia retrorsa","Amsinckia","retrorsa","","","","","Amsinckia menziesii"
"16","Anthoxanthum aristatum","Anthoxanthum","aristatum","","","","","Anthoxanthum aristatum spp. aristatum"
"17","Anthoxanthum aristatum aristatum","Anthoxanthum","aristatum","","aristatum","","","Anthoxanthum aristatum spp. aristatum"
"18","Aquilegia formosa","Aquilegia","formosa","","","","","Aquilegia formosa var. formosa"
"19","Aquilegia formosa formosa","Aquilegia","formosa","","","formosa","","Aquilegia formosa var. formosa"
"20","Arenaria serpyllifolia","Arenaria","serpyllifolia","","","","","Arenaria serpyllifolia var. serpyllifolia"
"21","Argentina pacifica","Argentina","pacifica","","","","","Argentina anserina"
"22","Arrhenatherum elatius","Arrhenatherum","elatius","","","","","Arrhenatherum elatius ssp. elatius"
"23","Artemisia campestris","Artemisia","campestris","","","","","Artemisia campestris ssp. pacifica"
"24","Asplenium trichomanes","Asplenium","trichomanes","","","","","Asplenium trichomanes ssp. trichomanes"
"25","Aster chilensis","Aster","chilensis","","","","","Symphyotrichum chilense"
"26","Athyrium filix-femina","Athyrium","filix-femina","","","","","Athyrium filix-femina ssp. cyclosorum"
"27","Blechnum spicant","Blechnum","spicant","","","","","Struthiopteris spicant"
"28","Botrychium silaifolium","Botrychium","silaifolium","","","","","Sceptridium multifidum"
"29","Brodiaea coronaria coronaria","Brodiaea","coronaria","","coronaria","","","Brodiaea coronaria"
"30","Bromus carinatus","Bromus","carinatus","","","","","Bromus carinatus var. carinatus"
"31","Bromus carinatus carinatus","Bromus","carinatus","","","carinatus","","Bromus carinatus var. carinatus"
"32","Bromus rigidus","Bromus","rigidus","","","","","Bromus diandrus"
"33","Cakile edentula","Cakile","edentula","","","","","Cakile edentula var. edentula"
"34","Cakile edentula edentula","Cakile","edentula","","","edentula","","Cakile edentula var. edentula"
"35","Cakile maritima","Cakile","maritima","","","","","Cakile maritima ssp. maritima"
"36","Cakile maritima maritima","Cakile","maritima","","maritima","","","Cakile maritima ssp. maritima"
"37","Calandrinia menziesii","Calandrinia","menziesii","","","","","Calandrinia ciliata"
"38","Callitriche heterophylla","Callitriche","heterophylla","","","","","Callitriche heterophylla var. bolanderi"
"39","Callitriche heterophylla bolanderi","Callitriche","heterophylla","","","bolanderi","","Callitriche heterophylla var. bolanderi"
"40","Calypso bulbosa","Calypso","bulbosa","","","","","Calypso bulbosa var. occidentalis"
"41","Calypso bulbosa occidentalis","Calypso","bulbosa","","","occidentalis","","Calypso bulbosa var. occidentalis"
"42","Camassia leichtlinii","Camassia","leichtlinii","","","","","Camassia leichtlinii ssp. suksdorfii"
"43","Camassia leichtlinii suksdorfii","Camassia","leichtlinii","","suksdorfii","","","Camassia leichtlinii ssp. suksdorfii"
"44","Camassia quamash","Camassia","quamash","","","","","Camassia quamash ssp. quamash"
"45","Camassia quamash quamash","Camassia","quamash","","quamash","","","Camassia quamash ssp. quamash"
"46","Carex aquatilis","Carex","aquatilis","","","","","Carex aquatilis var. dives"
"47","Carex aquatilis dives","Carex","aquatilis","","","dives","","Carex aquatilis var. dives"
"48","Carex canescens","Carex","canescens","","","","","Carex canescens ssp. canescens"
"49","Carex echinata","Carex","echinata","","","","","Carex echinata ssp. echinata"
"50","Carex echinata echinata","Carex","echinata","","echinata","","","Carex echinata ssp. echinata"
"51","Carex garberi","Carex","garberi","","","","",""
"52","Carex inops","Carex","inops","","","","","Carex inops ssp. inops"
"53","Carex inops inops","Carex","inops","","","","","Carex inops ssp. inops"
"54","Carex lenticularis","Carex","lenticularis","","","","","Carex kelloggii var. limnophila"
"55","Carex sitchensis","Carex","sitchensis","","","","","Carex aquatilis var. dives"
"56","Carex viridula","Carex","viridula","","","","","Carex viridula ssp. viridula"
"57","Carex viridula viridula","Carex","viridula","","viridula","","","Carex viridula ssp. viridula"
"58","Castilleja hispida hispida","Castilleja","hispida","","","","","Castilleja hispida"
"59","Castilleja hispida var. hispida","Castilleja","hispida","","","hispida","","Castilleja hispida"
"60","Castilleja miniata","Castilleja","miniata","","","","","Castilleja miniata var. dixonii"
"61","Cerastium arvense","Cerastium","arvense","","","","","Cerastium arvense ssp. strictum"
"62","Cerastium fontanum","Cerastium","fontanum","","","","","Cerastium fontanum ssp. vulgare"
"63","Chimaphila umbellata","Chimaphila","umbellata","","","","","Chimaphila umbellata ssp. umbellata"
"64","Clarkia amoena","Clarkia","amoena","","","","","Clarkia amoena"
"65","Clarkia amoena caurina","Clarkia","amoena","","caurina","","","Clarkia amoena ssp. caurina"
"66","Clarkia amoena caurina","Clarkia","amoena","","","caurina","","Clarkia amoena ssp. caurina"
"67","Clarkia amoena lindleyi","Clarkia","amoena","","lindleyi","","","Clarkia amoena ssp. lindleyi"
"68","Clarkia amoena lindleyi","Clarkia","amoena","","","lindleyi","","Clarkia amoena ssp. lindleyi"
"69","Clarkia amoena var. caurina","Clarkia","amoena","","","caurina","","Clarkia amoena ssp. caurina"
"70","Clarkia amoena var. lindleyi","Clarkia","amoena","","","lindleyi","","Clarkia amoena ssp. lindleyi"
"71","Claytonia exigua","Claytonia","exigua","","","","","Claytonia exigua ssp. exigua"
"72","Claytonia exigua exigua","Claytonia","exigua","","exigua","","","Claytonia exigua ssp. exigua"
"73","Claytonia rubra","Claytonia","rubra","","","","","Claytonia rubra ssp. depressa"
"74","Claytonia rubra depressa","Claytonia","rubra","","depressa","","","Claytonia rubra ssp. depressa"
"75","Corallorhiza maculata","Corallorhiza","maculata","","","","","Corallorhiza maculata var. occidentalis"
"76","Corallorhiza maculata occidentalis","Corallorhiza","maculata","","","occidentalis","","Corallorhiza maculata var. occidentalis"
"77","Corallorhiza striata","Corallorhiza","striata","","","","","Corallorhiza striata var. striata"
"78","Corallorhiza striata striata","Corallorhiza","striata","","","striata","","Corallorhiza striata var. striata"
"79","Cornus sericea","Cornus","sericea","","","","","Cornus sericea ssp. occidentalis"
"80","Cornus sericea occidentalis","Cornus","sericea","","occidentalis","","","Cornus sericea ssp. occidentalis"
"81","Corylus cornuta","Corylus","cornuta","","","","","Corylus cornuta ssp. californica"
"82","Corylus cornuta californica","Corylus","cornuta","","californica","","","Corylus cornuta ssp. californica"
"83","Cotoneaster coriaceus","Cotoneaster","coriaceus","","","","","Cotoneaster lacteus"
"84","Cotoneaster lacteus","Cotoneaster","lacteus","","","","","Cotoneaster lacteus"
"85","Crataegus monogyna","Crataegus","monogyna","","","","","Crataegus monogyna var. monogyna"
"86","Crataegus monogyna monogyna","Crataegus","monogyna","","","monogyna","","Crataegus monogyna var. monogyna"
"87","Cuscuta pacifica","Cuscuta","pacifica","","","","","Cuscuta pacifica var. pacifica"
"88","Danthonia decumbens x californica","Danthonia","decumbens","Danthonia decumbens x californica","","","","Danthonia decumbens"
"89","Dodecatheon pulchellum","Dodecatheon","pulchellum","","","","","Primula pauciflora var. pauciflora"
"90","Elymus glaucus","Elymus","glaucus","","","","","Elymus glaucus ssp. glaucus"
"91","Elymus glaucus glaucus","Elymus","glaucus","","glaucus","","","Elymus glaucus ssp. glaucus"
