Taxon,Genus,Species,Hybrid,Subspecies,Variety,Form,Matched.Taxon
Acer glabrum,Acer,glabrum,,,,,Acer glabrum var. douglasii
Achillea millefolium borealis,Achillea,millefolium,,,borealis,,Achillea millefolium
Achillea millefolium californica,Achillea,millefolium,,,californica,,Achillea millefolium
Adiantum aleuticum,Adiantum,aleuticum,,,,,Adiantum aleuticum var. aleuticum
Adiantum aleuticum aleuticum,Adiantum,aleuticum,,,aleuticum,,Adiantum aleuticum var. aleuticum
Agoseris grandiflora,Agoseris,grandiflora,,,,,Agoseris grandiflora var. leptophylla
Agoseris grandiflora leptophylla,Agoseris,grandiflora,,,leptophylla,,Agoseris grandiflora var. leptophylla
Agoseris heterophylla,Agoseris,heterophylla,,,,,Agoseris heterophylla ssp. heterophylla
Agoseris heterophylla heterophylla,Agoseris,heterophylla,,heterophylla,,,Agoseris heterophylla ssp. heterophylla
Amelanchier alnifolia semiintegrifolia,Amelanchier,alnifolia,,,semiintegrifolia,,Amelanchier alnifolia
Anthoxanthum aristatum,Anthoxanthum,aristatum,,,,,Anthoxanthum aristatum spp. aristatum
Anthoxanthum aristatum aristatum,Anthoxanthum,aristatum,,aristatum,,,Anthoxanthum aristatum spp. aristatum
Aquilegia formosa,Aquilegia,formosa,,,,,Aquilegia formosa var. formosa
Aquilegia formosa formosa,Aquilegia,formosa,,,formosa,,Aquilegia formosa var. formosa
Argentina pacifica,Argentina,pacifica,,,,,Argentina anserina
Artemisia campestris,Artemisia,campestris,,,,,Artemisia campestris ssp. pacifica
Asplenium trichomanes,Asplenium,trichomanes,,,,,Asplenium trichomanes ssp. trichomanes
Athyrium filix-femina,Athyrium,filix-femina,,,,,Athyrium filix-femina ssp. cyclosorum
Brodiaea coronaria coronaria,Brodiaea,coronaria,,coronaria,,,Brodiaea coronaria
Bromus carinatus,Bromus,carinatus,,,,,Bromus carinatus var. carinatus
Bromus carinatus carinatus,Bromus,carinatus,,,carinatus,,Bromus carinatus var. carinatus
Bromus rigidus,Bromus,rigidus,,,,,Bromus diandrus
Cakile edentula,Cakile,edentula,,,,,Cakile edentula var. edentula
Cakile edentula edentula,Cakile,edentula,,,edentula,,Cakile edentula var. edentula
Cakile maritima,Cakile,maritima,,,,,Cakile maritima ssp. maritima
Cakile maritima maritima,Cakile,maritima,,maritima,,,Cakile maritima ssp. maritima
Calandrinia menziesii,Calandrinia,menziesii,,,,,Calandrinia ciliata
Callitriche heterophylla,Callitriche,heterophylla,,,,,Callitriche heterophylla var. bolanderi
Callitriche heterophylla bolanderi,Callitriche,heterophylla,,,bolanderi,,Callitriche heterophylla var. bolanderi
Calypso bulbosa,Calypso,bulbosa,,,,,Calypso bulbosa var. occidentalis
Calypso bulbosa occidentalis,Calypso,bulbosa,,,occidentalis,,Calypso bulbosa var. occidentalis
Camassia leichtlinii,Camassia,leichtlinii,,,,,Camassia leichtlinii ssp. suksdorfii
Camassia leichtlinii suksdorfii,Camassia,leichtlinii,,suksdorfii,,,Camassia leichtlinii ssp. suksdorfii
Camassia quamash,Camassia,quamash,,,,,Camassia quamash ssp. quamash
Camassia quamash quamash,Camassia,quamash,,quamash,,,Camassia quamash ssp. quamash
Carex aquatilis,Carex,aquatilis,,,,,Carex aquatilis var. dives
Carex aquatilis dives,Carex,aquatilis,,,dives,,Carex aquatilis var. dives
Carex canescens,Carex,canescens,,,,,Carex canescens ssp. canescens
Carex echinata,Carex,echinata,,,,,Carex echinata ssp. echinata
Carex echinata echinata,Carex,echinata,,echinata,,,Carex echinata ssp. echinata
Carex garberi,Carex,garberi,,,,,
Carex inops,Carex,inops,,,,,Carex inops ssp. inops
Carex inops inops,Carex,inops,,,,,Carex inops ssp. inops
Carex sitchensis,Carex,sitchensis,,,,,Carex aquatilis var. dives
Carex viridula,Carex,viridula,,,,,Carex viridula ssp. viridula
Carex viridula viridula,Carex,viridula,,viridula,,,Carex viridula ssp. viridula
Castilleja hispida hispida,Castilleja,hispida,,,,,Castilleja hispida
Cerastium arvense,Cerastium,arvense,,,,,Cerastium arvense ssp. strictum
Cerastium fontanum,Cerastium,fontanum,,,,,Cerastium fontanum ssp. vulgare
Chimaphila umbellata,Chimaphila,umbellata,,,,,Chimaphila umbellata ssp. umbellata
Clarkia amoena,Clarkia,amoena,,,,,Clarkia amoena
Clarkia amoena caurina,Clarkia,amoena,,caurina,,,Clarkia amoena var. caurina
Clarkia amoena caurina,Clarkia,amoena,,,caurina,,Clarkia amoena var. caurina
Clarkia amoena lindleyi,Clarkia,amoena,,lindleyi,,,Clarkia amoena var. lindleyi
