"","scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"1","Acrosiphonia arcta","(Dillwyn) Gain","","Arctic sea moss","Plantae","Chlorophyta","","","Ulvophyceae","",NA,"Ulotrichales","",NA,"Ulotrichaceae","","","Acrosiphonia","Acrosiphonia arcta",NA,NA,"",NA,"unlisted","unlisted","2021-03-17","Andrew Simon","iNaturalist","iNat:72321490",NA,"2021-03-17","Andrew Simon","iNaturalist","iNat:72321490",NA,2,"new 2021","observed","",464879,"ALG"
"2","Acrosiphonia coalita","(Ruprecht) Scagel & al.","","green rope","Plantae","Chlorophyta","","","Ulvophyceae","",NA,"Ulotrichales","",NA,"Ulotrichaceae","","","Acrosiphonia","Acrosiphonia coalita",NA,NA,"",NA,"unlisted","unlisted","2009-06-12","Andy Lamb","PMLS","PMLS2021:106",NA,"2009-06-12","Andy Lamb","PMLS","PMLS2021:106",NA,1,"reported","unobserved","",429957,"ALG"
"3","Bryopsis sp.","","","hair alga","Plantae","Chlorophyta","","","Ulvophyceae","",NA,"Bryopsidales","",NA,"Bryopsidaceae","","","Bryopsis","",NA,NA,"",NA,"unlisted","unlisted","2008-05-30","Andy Lamb","PMLS","PMLS2021:65",NA,"2013-10-23","Andy Lamb","PMLS","PMLS2021:155",NA,2,"confirmed","unobserved","",63632,"ALG"
"4","Chlorococcum sp.","","","green alga","Plantae","Chlorophyta","","","Chlorophyceae","",NA,"Chlamydomonadales","",NA,"Chlorococcaceae","","","Chlorococcum","",NA,NA,"",NA,"unlisted","unlisted","2022-10-31","Mark Webber","Webber et al. 2022","MWMiners2022:1",NA,"2022-10-31","Mark Webber","Webber et al. 2022","MWMiners2022:1",NA,1,"new 2022","unobserved","",968579,"ALG"
"5","Cladophora columbiana","Collins","","green pin-cushion alga","Plantae","Chlorophyta","","","Ulvophyceae","",NA,"Cladophorales","",NA,"Cladophoraceae","","","Cladophora","Cladophora columbiana",NA,NA,"",NA,"unlisted","unlisted","2016-09-01","Andrew Simon","iNaturalist","iNat:4017201",NA,"2023-05-27","Joan Septembre","iNaturalist","iNat:164357574",NA,6,"new 2016","observed","",117775,"ALG"
"6","Codium fragile","Hariot","","sea staghorn","Plantae","Chlorophyta","","","Ulvophyceae","",NA,"Bryopsidales","",NA,"Codiaceae","","","Codium","Codium fragile",NA,NA,"",NA,"unlisted","unlisted","1977-11-27","Michael W. Hawkes","UBC","A57498",NA,"2023-03-22","bradwest4","iNaturalist","iNat:151948257",NA,8,"confirmed","observed","cf. Codium fragile subsp. californicum (J.Agardh) Maggs & J.Kelly",67555,"ALG"
"7","Codium setchellii","N.L.Gardner","","spongy cushion","Plantae","Chlorophyta","","","Ulvophyceae","",NA,"Bryopsidales","",NA,"Codiaceae","","","Codium","Codium setchellii",NA,NA,"",NA,"unlisted","unlisted","1994-10-22","Andy Lamb","PMLS","PMLS2021:6",NA,"2016-03-27","Andy Lamb","PMLS","PMLS2021:165",NA,16,"confirmed","unobserved","",117776,"ALG"
"8","Monostroma grevillei","(Thuret) Wittrock","","sea cellophane","Plantae","Chlorophyta","","","Ulvophyceae","",NA,"Ulotrichales","",NA,"Monostromataceae","","","Monostroma","Monostroma grevillei",NA,NA,"",NA,"unlisted","unlisted","2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25859558",NA,"2019-05-04","Bridgette Clarkston","iNaturalist","iNat:25859558",NA,2,"new 2019","observed","",465247,"ALG"
"9","Picochlorum sp.","","","green alga","Plantae","Chlorophyta","","","Trebouxiophyceae","",NA,"Chlorellales","",NA,"Chlorellales incertae sedis","","","Picochlorum","",NA,NA,"",NA,"unlisted","unlisted","2021-03-07","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2021","Zostera2021:293",NA,"2021-03-07","Mark Webber, Siobhan Schenck & Arjan van Asselt","Webber et al. 2021","Zostera2021:293",NA,2,"new 2021","unobserved","",1510061,"ALG"
"10","Prasiola borealis","M.Reed","","short sea lettuce","Plantae","Chlorophyta","","","Trebouxiophyceae","",NA,"Prasiolales","",NA,"Prasiolaceae","","","Prasiola","Prasiola borealis",NA,NA,"",NA,"unlisted","unlisted","1981-11-15","D. Garbary, L. Golden","ca.ubc","A64646",NA,"1981-11-15","D. Garbary, L. Golden","ca.ubc","A64646",NA,2,"reported","unobserved","material under the name Prasiola furfuracea is most likely Prasiola borealis. Since P. borealis has type localities of Unalaska and Kodiak Islands, Alaska, whereas P. furfuracea, which is the older name, has a type locality of Denmark, we follow AlgaeBase (Guiry and Guiry 2021) and identify our specimen(s) as P. borealis. Both species are distinguished by cells occurring in groups; they may or may not be infected with a fungus, which turns them black.”",533977,"ALG"
"11","Prasiola meridionalis","Setchell & N.L. Gardner","","short sea lettuce","Plantae","Chlorophyta","","","Trebouxiophyceae","",NA,"Prasiolales","",NA,"Prasiolaceae","","","Prasiola","Prasiola meridionalis",NA,NA,"",NA,"unlisted","unlisted","1981-11-15","David J. Garbary","UBC","A64665",NA,"2016-08-23","Andy Lamb","PMLS","PMLS2021:170",NA,2,"confirmed","unobserved","",429864,"ALG"
"12","Rosenvingiella polyrhiza","(Rosenvinge) P.C. Silva","","green alga","Plantae","Chlorophyta","","","Trebouxiophyceae","",NA,"Prasiolales","",NA,"Prasiolaceae","","","Rosenvingiella","Rosenvingiella polyrhiza",NA,NA,"",NA,"unlisted","unlisted","1981-11-15","David J. Garbary","UBC","A64664",NA,"1981-11-15","David J. Garbary","UBC","A64664",NA,4,"reported","unobserved","",410405,"ALG"
"13","Ulva australis","Areschoug","","sea lettuce","Plantae","Chlorophyta","","","Ulvophyceae","",NA,"Ulvales","",NA,"Ulvaceae","","","Ulva","Ulva australis",NA,NA,"",NA,"unlisted","unlisted","2023-05-28","S.C. Lindstrom","SCL","17902",NA,"2023-05-28","S.C. Lindstrom","SCL","17902",NA,1,"new 2023","unobserved","",1260605,"ALG"
"14","Ulva expansa","(Setchell) Setchell & N.L.Gardner","","large sea lettuce","Plantae","Chlorophyta","","","Ulvophyceae","",NA,"Ulvales","",NA,"Ulvaceae","","","Ulva","Ulva expansa",NA,NA,"",NA,"unlisted","unlisted","2023-05-26","Zach Montieth","SCL","17862",NA,"2023-05-26","Zach Montieth","SCL","17862",NA,1,"new 2023","unobserved","",338997,"ALG"
"15","Ulva fenestrata","Postels & Ruprecht","","sea lettuce","Plantae","Chlorophyta","","","Ulvophyceae","",NA,"Ulvales","",NA,"Ulvaceae","","","Ulva","Ulva fenestrata",NA,NA,"",NA,"unlisted","unlisted","1977-11-27","Michael W. Hawkes","UBC","A57503",NA,"2024-07-07","anamoo","iNaturalist","iNat:228348362",NA,223,"confirmed","observed","reported as Ulva lactuca L.",152972,"ALG"
"16","Ulva intestinalis","L.","","gutweed","Plantae","Chlorophyta","","","Ulvophyceae","",NA,"Ulvales","",NA,"Ulvaceae","","","Ulva","Ulva intestinalis",NA,NA,"",NA,"unlisted","unlisted","1996-09-29","Charlie Gibbs","PMLS","PMLS2021:20",NA,"2024-07-05","anamoo","iNaturalist","iNat:227568335",NA,56,"confirmed","observed","",130197,"ALG"
"17","Ulva linza","L.","","green string lettuce","Plantae","Chlorophyta","","","Ulvophyceae","",NA,"Ulvales","",NA,"Ulvaceae","","","Ulva","Ulva linza",NA,NA,"",NA,"unlisted","unlisted","2023-05-26","Zach Montieth","SCL","17863",NA,"2023-05-26","Zach Montieth","SCL","17863",NA,1,"new 2023","unobserved","",201435,"ALG"
