"","iNaturalist.taxon.name","iNaturalist.taxon.ID","Taxon.name","Author","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date.observed","Description","Common.name","Recorded.by","Captive.Cultivated","coordinateUncertaintyInMeters"
"5162","Eupeodes volucris",322357,"Eupeodes volucris",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Cyclorrhapha","","Syrphidae","Syrphinae","Syrphini","Eupeodes","volucris","iNat:163558356",48.876858,-123.3152,"2023-05-24",NA,NA,"Christian Adler","false",4
"5163","Tyria jacobaeae",51781,"Tyria jacobaeae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Noctuoidea","Erebidae","Arctiinae","Arctiini","Tyria","jacobaeae","iNat:163640098",48.872964,-123.346523,"2023-05-25",NA,NA,"Kevin Toomer","false",43
"5164","Panthea virginarius",226911,"Panthea virginarius",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Noctuoidea","Noctuidae","Pantheinae","","Panthea","virginarius","iNat:163640173",48.872964,-123.346523,"2023-05-25",NA,NA,"Kevin Toomer","false",43
"5165","Stenoporpia excelsaria",452659,"Stenoporpia excelsaria",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Geometroidea","Geometridae","Ennominae","Boarmiini","Stenoporpia","excelsaria","iNat:163640386",48.872964,-123.346523,"2023-05-25",NA,NA,"Kevin Toomer","false",43
"5166","Plagodis phlogosaria",205241,"Plagodis phlogosaria",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Geometroidea","Geometridae","Ennominae","Anagogini","Plagodis","phlogosaria","iNat:163640890",48.872964,-123.346523,"2023-05-25",NA,NA,"Kevin Toomer","false",43
"5167","Eulia ministrana",219735,"Eulia ministrana",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Tortricoidea","Tortricidae","Tortricinae","Cochylini","Eulia","ministrana","iNat:163641081",48.872964,-123.346523,"2023-05-25",NA,NA,"Kevin Toomer","false",43
"5168","Digrammia continuata",1293570,"Digrammia continuata",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Geometroidea","Geometridae","Ennominae","Macariini","Digrammia","","iNat:163641283",48.872964,-123.346523,"2023-05-25",NA,NA,"Kevin Toomer","false",43
"5169","Campaea perlata",81681,"Campaea perlata",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Geometroidea","Geometridae","Ennominae","Campaeini","Campaea","perlata","iNat:163641444",48.872964,-123.346523,"2023-05-25",NA,NA,"Kevin Toomer","false",43
"5170","Protitame subalbaria",202578,"Protitame subalbaria",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Geometroidea","Geometridae","Ennominae","Cassymini","Protitame","subalbaria","iNat:163641576",48.872964,-123.346523,"2023-05-25",NA,NA,"Kevin Toomer","false",43
"5171","Braconidae",63187,"Braconidae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","","Ichneumonoidea","Braconidae","","","","","iNat:163713433",48.873491,-123.346593,"2023-05-25",NA,NA,"Kevin Toomer","false",21
"5172","Syritta pipiens",81979,"Syritta pipiens",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","Cyclorrhapha","","Syrphidae","Eristalinae","Milesiini","Syritta","pipiens","iNat:163713580",48.870609,-123.318546,"2023-05-25",NA,NA,"Kevin Toomer","false",5
"5173","Bombus flavifrons",119308,"Bombus flavifrons",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","Aculeata","Apoidea","Apidae","Apinae","Bombini","Bombus","flavifrons","iNat:163722022",48.873,-123.346582,"2023-05-25",NA,NA,"Kevin Toomer","false",43
"5174","Brachycera",48091,"Brachycera",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Diptera","Brachycera","","","","","","","","iNat:163771476",48.978475,-123.567589,"2023-05-24",NA,NA,"Dave Zeuss Cochrane","false",NA
"5175","Psyllobora borealis",311633,"Psyllobora borealis",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","Coccinellinae","Halyziini","Psyllobora","borealis","iNat:163771502",48.978461,-123.56759,"2023-05-24",NA,NA,"Dave Zeuss Cochrane","false",NA
"5176","Banasa dimidiata",363224,"Banasa dimidiata",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hemiptera","Heteroptera","Pentatomomorpha","Pentatomoidea","Pentatomidae","Pentatominae","Pentatomini","Banasa","dimidiata","iNat:163771554",48.97849,-123.56759,"2023-05-24",NA,NA,"Dave Zeuss Cochrane","false",NA
"5177","Pero behrensaria",227513,"Pero behrensaria",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Geometroidea","Geometridae","Ennominae","Odontoperini","Pero","behrensaria","iNat:163804383",48.873019,-123.346589,"2023-05-26",NA,NA,"Kevin Toomer","false",43
"5178","Hydriomena",68651,"Hydriomena",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Geometroidea","Geometridae","Larentiinae","Hydriomenini","Hydriomena","","iNat:163804445",48.873019,-123.346589,"2023-05-26",NA,NA,"Kevin Toomer","false",43
"5179","Hydriomena",68651,"Hydriomena",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Geometroidea","Geometridae","Larentiinae","Hydriomenini","Hydriomena","","iNat:163804481",48.873019,-123.346589,"2023-05-26",NA,NA,"Kevin Toomer","false",43
"5180","Ichneumonidae",47199,"Ichneumonidae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Hymenoptera","Apocrita","","Ichneumonoidea","Ichneumonidae","","","","","iNat:163804528",48.873019,-123.346589,"2023-05-26",NA,NA,"Kevin Toomer","false",43
"5181","Stamnoctenis pearsalli",452688,"Stamnoctenis pearsalli",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Geometroidea","Geometridae","Larentiinae","Stamnodini","Stamnoctenis","pearsalli","iNat:163804572",48.873019,-123.346589,"2023-05-26",NA,NA,"Kevin Toomer","false",43
"5182","Tyria jacobaeae",51781,"Tyria jacobaeae",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Noctuoidea","Erebidae","Arctiinae","Arctiini","Tyria","jacobaeae","iNat:163804639",48.873019,-123.346589,"2023-05-26",NA,NA,"Kevin Toomer","false",43
"5183","Phyllodesma americana",201281,"Phyllodesma americana",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Lasiocampoidea","Lasiocampidae","Lasiocampinae","Gastropachini","Phyllodesma","americana","iNat:163804789",48.873019,-123.346589,"2023-05-26",NA,NA,"Kevin Toomer","false",43
"5184","Melanolophia imitata",224588,"Melanolophia imitata",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Geometroidea","Geometridae","Ennominae","Melanolophiini","Melanolophia","imitata","iNat:163804840",48.873019,-123.346589,"2023-05-26",NA,NA,"Kevin Toomer","false",43
"5185","Panthea virginarius",226911,"Panthea virginarius",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Noctuoidea","Noctuidae","Pantheinae","","Panthea","virginarius","iNat:163804926",48.873019,-123.346589,"2023-05-26",NA,NA,"Kevin Toomer","false",43
"5186","Malacosoma californica",359294,"Malacosoma californica",NA,"Animalia","Arthropoda","Hexapoda","","Insecta","Pterygota","","Lepidoptera","","","Lasiocampoidea","Lasiocampidae","Lasiocampinae","Lasiocampini","Malacosoma","californica","iNat:163847359",48.865375,-123.31395,"2023-05-25",NA,NA,"","false",20
